label,famille,forme,rgb,jeton_regex,description,source
Conduit 2po EMT entrée télécom — à métrer,telecom,trapeze,,,"C.2""ØEMT c/a corde de tirage vers entrée télécom",E002_2 plan services mezzanine (note)
Plinthe électrique 500W,chauffage,carre,,,"Plinthe de chauffage électrique Stelpro série Bella 500 W",E001_2 tableau CVC + plan
Plinthe électrique 750W,chauffage,carre,,,"Plinthe de chauffage électrique 750 W",E001_2 tableau CVC + plan
Plinthe électrique 1500W,chauffage,carre,,,"Plinthe de chauffage électrique 1500 W",E001_2 tableau CVC + plan
Plinthe électrique 2000W,chauffage,carre,,,"Plinthe de chauffage électrique 2000 W",E001_2 tableau CVC + plan
Plinthe électrique 2500W,chauffage,carre,,,"Plinthe de chauffage électrique 2500 W",E001_2 tableau CVC + plan
Aéroconvecteur mural 4kW,chauffage,carre,,,"Aéroconvecteur mural de chauffage électrique Stelpro série WF, 4 kW",E001_2 tableau CVC + plan RDC
Mini aéroconvecteur plafond 2kW — à confirmer,chauffage,carre,,,"Symbole proche du mini aéroconvecteur de plafond Stelpro SK, 2 kW",E001_2 tableau CVC + plan (vestiaire)
Raccordement serpentin électrique,chauffage,carre,,,"Serpentin de chauffage électrique (S-01…S-04) fourni par mécanique, raccordé par électricien",E001_2 tableau CVC + cédule PP-MEZZANINE
Thermostat de ligne,chauffage,carre,,,"Thermostat de chauffage de ligne électronique Stelpro, fourni-installé-raccordé",E001_2 tableau CVC
Thermostat BT STE241,chauffage,cercle,,,"Thermostat basse tension Stelpro STE241, fourni-installé-raccordé par l'électricien",E001_2 tableau CVC
Thermostat BT (par mécanique),chauffage,cercle,,,"Thermostat basse tension fourni et installé par mécanique (BV-01…03) — fourni par autres",E001_2 tableau CVC
Carré R — à classer,chauffage,carre,,,"Carré « R » près des plinthes, hors légende (relais ?)",E002_2 plan services mezzanine
Moteur monophasé (ventilateur),mecanique,cercle,,,"Moteur monophasé fourni par mécanique, raccordé par électricien (VE-01, VE-02)",E001_2 tableau CVC + cédule PS-MEZZANINE
Raccordement boîte volume variable,mecanique,carre,,,"Boîte à volume variable BV-01…03, circuit PS-42",E002_2 plan + cédule PS-MEZZANINE
Volet motorisé M — à classer,mecanique,carre,,,"Carré « M » hachuré, circuit PS-52, hors légende",E002_2 plan services mezzanine (salle technique)
Raccordement condenseur CO-1,mecanique,carre,,,"Condenseur CO-1 3500 W, circuit PS-54/56 2P 30 A",E002_2 plan RDC + cédule PS-MEZZANINE
Raccordement évaporateur EV-01 — à confirmer,mecanique,carre,,,"Évaporateur EV-01 étiqueté PS(54,56) au plan mezzanine",E002_2 plan services mezzanine
Panneau PP-MEZZ 347/600V,distribution,carre,,,"Panneau 100 A 347/600 V 3ph 4F, disj. maître 100A/3P, à l'épreuve des gicleurs",E002_2 unifilaire + cédule
Panneau PS-MEZZ 120/208V,distribution,carre,,,"Panneau 100 A 120/208 V 3ph 4F, à l'épreuve des gicleurs",E002_2 unifilaire + cédule
Transformateur 30 kVA,distribution,carre,,,"Transformateur sec 30 kVA 600-120/208 V 3ph 4F, à l'épreuve des gicleurs",E002_2 unifilaire + note 1
Interrupteur sécurité 30A EI,distribution,carre,,,"Interrupteur de sécurité 30 A sans fusibles, à l'épreuve des intempéries (E.I.)",E001_2 tableau de distribution + plan RDC
Barre de MALT,distribution,carre,,,"Nouvelle barre de mise à la terre (note 02)",E002_2 plan services mezzanine + unifilaire note 02
Raccordement auget existant,distribution,carre,,,"Raccordement du nouveau panneau sur l'auget existant 600 A (note 2)",E002_2 unifilaire + notes
Contreplaqué ignifuge 3/4po,distribution,trapeze,,,"Contreplaqué 3/4"" ignifuge peint gris (montage des équipements)",E002_2 plan services mezzanine (note)
Fixation murale transformateur,distribution,trapeze,,,"Cornières 38x38x3 + amortisseurs RM-2 (détail fixation au mur d'un transformateur)",E006 détail fixation transformateur
Protection ignifuge 1 h (note),distribution,trapeze,,,"Installer les équipements dans une protection ignifuge 1 heure",E002_2 plan RDC (notes)
Trappe accès ignifuge relais,distribution,trapeze,,,"Fournir et installer une trappe d'accès ignifuge pour le relais de contrôle d'éclairage",E002_2 plan RDC (notes)
TA — à classer,autre,carre,,,"Carré « TA » hors légende (trappe d'accès ?)",E002_2 plan services mezzanine (salle technique)
