page_scan,section,objet,quantite,um,vendant_unit,vendant,temps_unit_h,temps_total_h,feuille_zone
4,DISTRIBUTION,250MCM 3C ARME ALUM PV [libellé tronqué],100,P,10.11,1011.17,0.068,6.800,non indiquée
4,DISTRIBUTION,CONN BX 2PO 1VIS,2,U,15.38,30.75,0.250,0.500,non indiquée
4,DISTRIBUTION,EMBOUT 2PO PLAST (AI),4,U,0.93,3.72,0.030,0.120,non indiquée
4,DISTRIBUTION,250MCM 37 BRINS RW9060 [libellé tronqué],30,P,1.92,57.64,0.036,1.080,non indiquée
4,DISTRIBUTION,4AWG 7 BRINS RW90 600V [libellé tronqué],10,P,0.46,4.58,0.012,0.120,non indiquée
4,DISTRIBUTION,MAMELON RIG 2X6PO,1,U,26.81,26.81,0.500,0.500,non indiquée
4,DISTRIBUTION,CONTRE ECROU 2PO (AI),4,U,1.40,5.59,0.030,0.120,non indiquée
4,DISTRIBUTION,Sous-total DISTRIBUTION,,,,5028.65,,22.590,non indiquée
5,GRANDS TOTAUX,Coûtant = prix de vente,,,,30663.44,,,
5,GRANDS TOTAUX,Main-d'oeuvre,202.270,h,,,,,
