page_scan,section,objet,quantite,um,vendant_unit,vendant,temps_unit_h,temps_total_h,feuille_zone,note
4,SERVICE,COUDE CPV 1-1/2PO 90D (A,3,U,15.08,45.25,0.250,0.750,non indiquée (export sans ventilation),
4,SERVICE,ADAPT M CPV 1-1/2PO (AI),1,U,5.93,5.93,0.180,0.180,non indiquée (export sans ventilation),
4,SERVICE,CONTRE ECROU 1PO (AI),10,U,0.56,5.63,0.030,0.300,non indiquée (export sans ventilation),
4,SERVICE,ADAPT F CPV 1-1/2PO (AI),1,U,6.17,6.17,0.180,0.180,non indiquée (export sans ventilation),
4,SERVICE,COND CPV 1-1/2PO 10PI (AI),80,P,3.95,315.87,0.090,7.200,non indiquée (export sans ventilation),
4,SERVICE,COND TME 1-1/2PO,150,P,3.42,513.02,6.500,9.750,non indiquée (export sans ventilation),temps unit. imprimé 6.500 h mais total 9.750 h → 0.065 h réel
4,SERVICE,COUDE TME 1-1/2PO 90D,4,U,9.85,39.40,0.300,1.200,non indiquée (export sans ventilation),
4,SERVICE,CONN TME 11/2PO VIS ZINC,4,U,4.42,17.68,0.180,0.720,non indiquée (export sans ventilation),
4,SERVICE,ACCOUPL TME 1-1/2PO VIS,19,U,4.13,78.40,0.000,0.000,non indiquée (export sans ventilation),
4,SERVICE,COURROIE 1-1/2PO CABLE,20,U,2.90,58.06,0.000,0.000,non indiquée (export sans ventilation),
4,SERVICE,tel/data,10,U,13.96,139.60,0.630,6.300,non indiquée (export sans ventilation),2e ligne tel/data (aussi p.3) ; incluse dans le sous-total SERVICE (vérifié : somme = 17 098.52 $ / 307.725 h)
4,SERVICE,conduit vide 2 (4s),40,P,,256.56,0.084,4.960,non indiquée (export sans ventilation),
4,SERVICE,conduit vide 1 (25s),250,P,,545.18,0.050,17.500,non indiquée (export sans ventilation),
4,SERVICE,conduit vide 3/4 (65s),650,P,,825.29,0.040,36.400,non indiquée (export sans ventilation),
4,SERVICE,conduit vide 1 1/4 (15s),150,P,,616.21,0.068,14.700,non indiquée (export sans ventilation),
4,SERVICE,conduit 3/4 05c12 (13s),130,P,,379.56,0.065,10.530,non indiquée (export sans ventilation),
4,SERVICE,conduit 3/4 07c12 (18s),180,P,,642.54,0.075,16.380,non indiquée (export sans ventilation),
4,SERVICE,conduit 2 33c12 (15s),150,P,,2591.10,0.249,43.350,non indiquée (export sans ventilation),
4,SERVICE,BOITE CARRE 2-1/8PO KO 1.,40,U,6.18,247.11,0.250,10.000,non indiquée (export sans ventilation),
4,SERVICE,COUV CARRE 4PO VIERGE,40,U,1.50,59.94,0.050,2.000,non indiquée (export sans ventilation),
4,SERVICE,BOITE D 8X8X4PO CEMA1,18,U,12.21,219.78,0.600,10.800,non indiquée (export sans ventilation),
4,SERVICE,BOITE D 12X12X4PO CEMA1,2,U,17.43,34.86,1.000,2.000,non indiquée (export sans ventilation),ligne répétée ; les deux sont incluses dans le sous-total
4,SERVICE,BOITE D 12X12X4PO CEMA1,2,U,17.43,34.86,1.000,2.000,non indiquée (export sans ventilation),ligne répétée ; les deux sont incluses dans le sous-total
4,SERVICE,Sous-total SERVICE,,lot,,17098.52,,307.725,non indiquée (export sans ventilation),
4,TOTAUX,Grands totaux (coûtant 102 659.18 $),,lot,,102659.19,,1044.005,non indiquée (export sans ventilation),
