document,page_scan,page_acceo,section,objet,quantite,um,retenu,note
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),12X30A1P 6X20A3P 3X30A3(...),0,U,non,ligne descriptive
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),(ligne vide),0,U,non,
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),SECTIONNEUR 400A347/600,6,U,non,barré
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),(ligne vide),0,U,non,
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),PANN PI-3PPN4N-1 400A 34(...),6,U,non,barré
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),MAIN DISJ 400A 3P C/A DISF(...),0,U,non,ligne descriptive
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),CONNECTEÉ AU SYST GEST(...),0,U,non,ligne descriptive
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),1X150A3P 3X40A3P 3X15A3(...),0,U,non,ligne descriptive
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),(ligne vide),0,U,non,
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),(ligne vide),0,U,non,
relevé final Daniel.pdf,3,2,DISTRIBUTION DEMANDE DE PRIX (barré),PANNEAU P1-2PDN4N-1 600(...),6,U,non,barré
relevé final Daniel.pdf,3,2,DISTRIBUTION DEMANDE DE PRIX (barré),1X200A3P 1X20A3P 2X15A3I(...),0,U,non,ligne descriptive
relevé final Daniel.pdf,3,2,DISTRIBUTION DEMANDE DE PRIX (barré),11X20A1P 1X20A 2P,0,U,non,ligne descriptive
relevé final Daniel.pdf,3,2,DISTRIBUTION DEMANDE DE PRIX (barré),(lignes vides ×2),0,U,non,
relevé final Daniel.pdf,3,2,DISTRIBUTION DEMANDE DE PRIX (barré),PANNEAU P1-2PDPN4F-1 20(...),6,U,non,barré
relevé final Daniel.pdf,3,2,DISTRIBUTION DEMANDE DE PRIX (barré),3X15A3P 2X20A2P 3X15A2P,0,U,non,ligne descriptive
relevé final Daniel.pdf,3,2,DISTRIBUTION DEMANDE DE PRIX (barré),(ligne vide),0,U,non,
relevé final Daniel.pdf,3,2,DISTRIBUTION DEMANDE DE PRIX (barré),TRANSFO 112 1/2 KVA 600/1(...),6,U,non,barré
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE A1 59X6,354,U,non,barré; 59/bât.
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE B1 4X6,24,U,non,barré; 4/bât.
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE 60X6,360,U,non,barré; type non écrit (C1 par recoupement p.9)
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE C2 4X6,24,U,non,barré
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE C3 17X6,102,U,non,barré
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE D1 43X6,258,U,non,barré
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE E1 16X6,96,U,non,barré
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE G2,21,U,non,barré; site (seule mention de G2)
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE G3,11,U,non,barré; site
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE L2,3,U,non,barré; site
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE L3,4,U,non,barré; site
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),FIXTURE TYPE L5,9,U,non,barré; site
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),ENSEIGNE SORTIE 18X6,108,U,non,barré
relevé final Daniel.pdf,3,2,ECLAIRAGE DEMANDE DE PRIX (barré),ONDULATEUR 2X6,12,U,non,barré
relevé final Daniel.pdf,4,3,CHAUFFAGE DEMANDE DE PRIX (barré),PLINTHE C1.1 500W 347V,34,U,non,barré (idem final)
relevé final Daniel.pdf,4,3,CHAUFFAGE DEMANDE DE PRIX (barré),PLINTHE C1.1 1500W 347V,1,U,non,barré
relevé final Daniel.pdf,4,3,CHAUFFAGE DEMANDE DE PRIX (barré),CONVECTEUR C2.2 4000 W,3,U,non,barré
relevé final Daniel.pdf,4,3,CHAUFFAGE DEMANDE DE PRIX (barré),CONVECTEUR C3.2 8000W,1,U,non,barré
relevé final Daniel.pdf,4,3,CHAUFFAGE DEMANDE DE PRIX (barré),PLINTHE C4.1 1500W 347V,10,U,non,barré
relevé final Daniel.pdf,4,3,CHAUFFAGE DEMANDE DE PRIX (barré),CONVECTEUR C5.1 2000W,2,U,non,barré
relevé final Daniel.pdf,4,3,CHAUFFAGE DEMANDE DE PRIX (barré),CONVECTEUR C5.2 2000W,1,U,non,barré
relevé final Daniel.pdf,4,3,CHAUFFAGE DEMANDE DE PRIX (barré),PLINTHE C6.1 1000W 347V,4,U,non,barré
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),PRIX DE LOT DISTRIBUTION,1,U,hors,33455.00 $
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),PRIX DE LOT TRANSFO,1,U,hors,8667.00 $
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),PANN P1-3PPN4N-1 400A 34(...),1,U,oui,12 h
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),MESURAGE,0,U,oui,quantité 0
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),SECTIONNEUR 400A 347/60(...),1,U,oui,7 h
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),PANN 600A 120/208V 3PH 4F,1,U,oui,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),PANN 225A 120/208V 3PH 4F,1,U,oui,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),TRANSFO 112 .5 KVA 600/12(...),1,U,oui,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),ARMOIRE POUR APPAREILS,1,U,oui,378.89 $
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),FUS 350A 600V HRCI-J D,3,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),PLYWOOD 4X8X3/4,5,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),MAMELON RIG 4X6PO,0,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),EMBOUT 4PO PLAST,0,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),CONTRE ECROU 4PO,0,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),COND FLEX 1-1/2PO ALUM,5,P,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),COND FLEX 2-1/2PO ALUM,10,P,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),CONN BX 1-1/2PO 1VIS,1,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),CONN BX 1-1/2PO 90D 2VIS,1,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),CONN BX 2-1/2PO 90D 2VIS,2,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),CONN BX 2-1/2PO 2VIS,2,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),EMBOUT 1-1/2PO PLAST (AI),2,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),EMBOUT 2-1/2PO PLAST (AI),4,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),EMBOUT 2PO PLAST (AI),2,U,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),4/0AWG 19 BRINS RW90 600V,160,P,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),4AWG 7 BRINS RW90 600V,40,P,hors,
relevé final Daniel.pdf,4,3,DISTRIBUTION (×6),1/0AWG 19 BRINS RW90 600V,60,P,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),6AWG 7 BRINS RW90 600V,20,P,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),6AWG CUIVRE NU ETAME,50,P,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),BARRE MISE A TERRE 1/4X2(...),2,U,oui,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),TIGE MALT 10PI 3/4PO CUI,2,U,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),2/0AWG 19BRINS CUIVRE N(U),75,P,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),conduit 2 4c3/0,220 (22s),P,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),1AWG 19 BRINS CUIVRE NU,250,P,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),CADWELL,2,U,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),ACCOUPL CPV 1PO,32,U,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),COUDE CPV 1PO 90D,6,U,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),COND CPV 1PO 10PI,250,P,hors,
relevé final Daniel.pdf,5,4,DISTRIBUTION (×6),ADAPT M CPV 1PO,3,U,hors,
relevé final Daniel.pdf,5,4,Sommaire DISTRIBUTION,Sous-total ×6 = total,350396.40,$,info,58399.40 $ × 6; 160.085 h × 6 = 960.510 h
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),PRIX DE LOT ALARME INCE(NDIE),1,U,hors,102196.00 $
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),PANNEAU ALARME,1,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),PANNEAU ANNONCIATEUR,1,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),PANN SP1,1,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),PANN PS2,1,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),STATION MANUEL,9,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),DETECTEUR A FUMÉE,44,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),DETECTEUR A FOMÉE FL-R(X),3,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),DETECTEUR A FUMÉE FL-T(X),3,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),DETECTEUR GAINE,6,U,oui,2.500 h/u
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),KLAXON STROB,63,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),STROB,6,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),RELAIS ADRESSABLE,10,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),INTERFACE ADRESSABLE,2,U,oui,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),COND ALARME 3/16 FT4,5200 (520s),P,hors,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),16AWG 3C ALARME ARME,1500,P,hors,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),BOITE RECT 2-1/2PO OREILL(ES),9,U,hors,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),BOITE OCTOG 1-1/2PO KO 1,50,U,hors,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),BOITE CARRE 2-1/8PO KO 1,200,U,hors,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),COUV CARRE 4PO VIERGE,100,U,hors,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),CONN BX 3/8PO 1VIS ALLIAGE,300,U,hors,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),COND TME 3/4PO,5200,P,hors,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),conduit vide 3/4,850 (85s),P,hors,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),14AWG 19 BRINS T90 NYLON,1750,P,hors,
relevé final Daniel.pdf,5,4,ALARME INCEDIE (×6),18AWG 3C ALARME BLINDE,1250,P,hors,
relevé final Daniel.pdf,6,5,Sommaire ALARME INCEDIE,Sous-total ×6 = total,724578.90,$,info,120763.15 $ × 6; 780.70 h × 6 = 4684.2 h
relevé final Daniel.pdf,6,5,SERVICE (×6),tel/data,14,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),prise duplex 15A 120V,101,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),prise duplex 15/20A 120V,26,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),prise duplex 20a 125v GFI,10,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),RACCORD DIRECT,43,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),CHAUFFE-EAU,3,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),MOTEUR HUM,3,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),MOTEUR PUI-REC,1,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),MOTUR UNIT TF1,2,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),MOTEUR EV-,2,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),SERPENTIN,7,U,oui,15.00 $/u
relevé final Daniel.pdf,6,5,SERVICE (×6),SERPENTIN,3,U,oui,25.00 $/u
relevé final Daniel.pdf,6,5,SERVICE (×6),PANN CONTROL,1,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),ETAG CABLE 35/8HX12L EC(...),2,U,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),Interrupteur de sécurité 30A 3(...),8,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),INTERR 30A 3P 600V CEMA3(R),3,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),MOTEUR CSI,3,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),MOTEUR EF,3,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),BRASSEUR AIR CF,4,U,oui,
relevé final Daniel.pdf,6,5,SERVICE (×6),conduit 1 pvc vide,190 (19s),P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),conduit 3/4 03c12,1950 (195s),P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),conduit 3/4 07c12,260 (26s),P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),conduit 3/4 09c12,210 (21s),P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),conduit 1 11c12,160 (16s),P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),conduit 1 13c12,60 (6s),P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),conduit 1-1/4 17c12,120 (12s),P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),conduit 1-1/4 19c12,60 (6s),P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),conduit 2 42c12,230 (23s),P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),BOITE CARRE 2-1/8PO KO 1,75,U,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),COUV CARRE 4PO VIERGE,75,U,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),BOITE D 8X8X4PO CEMA1,12,U,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),BOITE D 12X12X4PO CEMA1,6,U,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),BOITE RECT 3-1/2PO 1G MA,50,U,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),RAIL 1-5/8X1-5/8PO GALV,200,P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),NOIX HEX 3/8PO,400,U,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),RONDEL BLOCAGE 3/8PO,400,U,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),TIGE FILETE 3/8PO,500,P,hors,
relevé final Daniel.pdf,6,5,SERVICE (×6),QUINCAILLERIE,1,U,hors,2250.00 $
relevé final Daniel.pdf,7,6,Sommaire SERVICE,Sous-total ×6 = total,196198.98,$,info,32699.83 $ × 6
relevé final Daniel.pdf,7,6,RISER (×1),PUIT ACCESS 815X815X90(...),5,U,oui,site
relevé final Daniel.pdf,7,6,RISER (×1),POTEAU DE BOIS,11,U,oui,site
relevé final Daniel.pdf,7,6,RISER (×1),BOOM TRUCK,3,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),PEPINE ET TERRIER,3,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),NACELLE,2,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),HAUBAN,3,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),TRAVERSE /ISOLATEUR /AT(...),6,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),CABLE ACIER 3/8,1000,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),CABLE ASC XLP 477 HUCKL(E),9840,P,hors,
relevé final Daniel.pdf,7,6,RISER (×1),CONN H 500@4/0&500@4/0,24,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),CONN BOULON 750@4/0&4/(0),24,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),ACCOUPL CPV 4PO,12,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),CAP ENTRE 4PO CPV,6,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),COND CPV 4PO 10PI,120,P,hors,
relevé final Daniel.pdf,7,6,RISER (×1),COLLE SOLVANT CPV 950M(L),1,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),COURR CPV 4PO 2TROU AC,24,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),SUPP HQ 4X2PO MONO-BLC,86,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),COUDE TYPEII 3X60PO 90D,12,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),ADAPT TYPEII 4PO FEM CS,6,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),COND TYPEII 4PO 10PI,430,P,hors,
relevé final Daniel.pdf,7,6,RISER (×1),BOUCHON M TYPEII 4PO CC,6,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),MANCHON TYPEII 4PO COLL(E),55,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),PROTEGE BUTOIR 4 COND,2,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),COLLE SOLVANT CPV 4LITR(E),5,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),SUPP HQ 4X2PO MONO-BLC,1600,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),COUDE TYPEII 3X60PO 90D,42,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),COUDE TYPEII 4X60PO 90D,10,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),MANCHON TYPEII 3PO COLL(E),517,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),MANCHON TYPEII 4PO COLL(E),330,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),COND TYPEII 3PO 10PI,4750,P,hors,
relevé final Daniel.pdf,7,6,RISER (×1),COND TYPEII 4PO 10PI,3200,P,hors,
relevé final Daniel.pdf,7,6,RISER (×1),ADAPT F TYPEII 3PO,18,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),BOUCHON M TYPEII 3PO CC,18,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),BOUCHON M TYPEII 4PO CC,14,U,hors,
relevé final Daniel.pdf,7,6,RISER (×1),500MCM 37 BRINS RW90 600V,17920,P,hors,
relevé final Daniel.pdf,7,6,RISER (×1),3AWG 7 BRINS RW90 600V,3640,P,hors,
relevé final Daniel.pdf,7,6,RISER (×1),QUINCAILLERIE,1,U,hors,2500.00 $
relevé final Daniel.pdf,8,7,Sommaire RISER,Total ×1,693573.67,$,info,2657.98 h
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),PRIX DE LOT FIXTURE,1,U,hors,312076.98 $ (inclut G2/G3 sans ligne de quantité)
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),BOOM TRUCK,1,U,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),LAMPADAIRE TYPE L2,3,U,oui,site
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),LAMPADAIRE TYPE L3,4,U,oui,site
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),LAMPADAIRE TYPE L5,9,U,oui,site
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),BASE LAMPADAIRE,16,U,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),TIGE MALT 10PI 3/4PO CUI,16,U,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),ABB D65U PORTE FUS POTE(AU),16,U,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),FUS 4A 600V MIDGET 100KA,32,U,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),ACCOUPL CPV 2PO (AI),266,U,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),COUDE CPV 2PO 90D (AI),16,U,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),COND CPV 2PO 10PI (AI),2500,P,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),COLLE SOLVANT CPV 4LITR(E),1,U,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),ADAPT M CPV 2PO (AI),4,U,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),6AWG 7 BRINS RW90 600V,6000,P,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),10AWG SOLIDE RW90 600V,3000,P,hors,
relevé final Daniel.pdf,8,7,LAMPADAIRE (×1),JOINT EXPANS CPV 2PO,20,U,hors,
relevé final Daniel.pdf,8,7,CHAUFFAGE (×6),PRIX DE LOT CHAUFFAGE,1,U,hors,10743.00 $
relevé final Daniel.pdf,8,7,CHAUFFAGE (×6),PLINTHE C1.1 500W 347V,34,U,oui,
relevé final Daniel.pdf,8,7,CHAUFFAGE (×6),PLINTHE C1.1 1500W 347V,1,U,oui,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),CONVECTEUR C2.2 4000W,3,U,oui,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),CONVECTEUR C3..2 8000W,1,U,oui,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),PLINTHE C4..1 1500W 347V,10,U,oui,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),CONVECTEUR C5.1 2000W,2,U,oui,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),PLINTHE C6.1 1000W 347V,4,U,oui,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),CONVERTEUR C5.2 2000W,1,U,oui,
relevé final Daniel.pdf,9,8,CHAUFFAGE (×6),conduit 3/4 03c10,340 (34s),P,hors,
