label,famille,forme,rgb,jeton_regex,description,source
C4.1 Plinthe 1500W,chauffage,,,,Plinthe électrique au sol 1500W 347V 1700 mm c/a relais triac,501B liste chauffage; 506B mot 1500W
C5.1 Convecteur 2000W,chauffage,,,,Aéroconvecteur mural 2000W 347V c/a relais triac,501B liste chauffage; 506B mot 2000W
C5.2 Convecteur 2000W,chauffage,,,,Aéroconvecteur mural 2000W 347V c/a thermostat intégré,501B liste chauffage; 506B mot 2000W
C6.1 Plinthe 1000W,chauffage,,,,Plinthe murale 1000W 347V 1250 mm c/a relais triac,501B liste chauffage; 506B mot 1000W
Serpentin EHC1 19 kW,chauffage,carre,,,Serpentin électrique de conduit EHC1-001/002/003-101 19 kW,506B + 502B départs P1-3PPN4N-1
Serpentin EHC2 15 kW,chauffage,carre,,,Serpentin électrique de conduit EHC2-001/002/003-101 15 kW,506B + 502B départs P1-3PPN4N-1
Serpentin EHC3 3 kW douche,chauffage,carre,,,Serpentin EHC3-001-101 3 kW (HEATER SHOWER 52/54 P1-2PDPN4F-1),506B + 511B
Serpentin EHC1-006 500W,chauffage,carre,,,Serpentin EHC1-006-101 500W (502B : ECH1-006-101 3X 1.5kW),506B + 502B
Raccordement ventilateur HVLS CF,mecanique,,,,Ventilateur plafond grand volume basse vitesse CF1..CF4-005-101,506B + 402B tableau HVLS
Raccordement évaporateur EV,mecanique,,,,EV1-006-101 / EV1-007-101,506B + 511B
Raccordement condenseur CS,mecanique,,,,CS1-004/006/007-101 extérieur,506B + 511B
Raccordement humidificateur HU,mecanique,,,,HU1-001/002/003-10R 15 kW,506B + 502B
Raccordement ventilateur TF,mecanique,,,,TF1-004-101 / TF2-004-101,506B détail 2 + 511B
Raccordement pompe PU1,mecanique,,,,PU1-REC-101 (circuit 37 P1-2PDPN4N-1),506B détail 2
Raccordement chauffe-eau WH,mecanique,,,,Chauffe-eau WH1/WH2/WH3-DHW-101,506B détail 2 + 511B
Raccordement UTA toit RT,mecanique,,,,Unité de toiture RT1-001/002/003-10R,507B + 502B
Raccordement unité HE toit,mecanique,,,,HE1-001/002/003-10R (toit),507B + 502B
Sectionneur ≤240V,distribution,,,,Interrupteur de sûreté jusqu'à 240V (30/15A ou 30/20A),501B légende distribution; 506B
Sectionneur ≤240V WP,distribution,,,,Interrupteur de sûreté 30A sans fusible à l'épreuve des intempéries (WP 30/SF),501B légende; 506B
Panneau 120/208V,distribution,,,,Panneau de distribution 120/208V 3Ø 4F (P1-2PDPN4N-1 600A / P1-2PDPN4F-1 200A),502B + 506B
Panneau 347/600V,distribution,,,,Panneau P1-3PPN4N-1 400A 347/600V 22 kA,502B + 506B
Transformateur sec 112.5 kVA,distribution,,,,Transformateur P1-3TRN4N-1 112.5 kVA 600-120/208V,502B + 506B
Interrupteur principal 400A,distribution,,,,Interrupteur principal 400A-3P fusible (350A au 502B / 400A au 506B),502B + 506B
Armoire de mesurage HQ type B,distribution,,,,Armoire de transformation Hydro-Québec type B pour mesurage,502B identification 1 + 506B « HQ »
Dispositif de mesurage GTB,distribution,,,,Dispositif de mesurage client raccordé à la GTB (note B),502B note B
Barre de mise à la terre,distribution,,,,Barre de mise à la terre (salle électrique principale / secondaire / télécom),502B schéma
Départ futur ventilateur EF,distribution,,,,Départ réservé EF1/EF2/EF3-007-101 (FUTUR) au tableau P1-2PDPN4F-1,511B tableau de panneau
Klaxon/stroboscope,alarme,,,,Klaxon combiné avec avertisseur visuel (candela indiquée),501B légende alarme; 508B
Stroboscope mural,alarme,,,,Avertisseur visuel en applique (sans klaxon),501B légende alarme; 508B
Détecteur de fumée photoélectrique,alarme,,,,Détecteur de fumée photoélectrique,501B légende alarme; 508B
Détecteur faisceau émetteur FL-TX,alarme,,,FL-TX,Faisceau lumineux - module de transmission,501B légende alarme; 508B
Détecteur faisceau récepteur FL-RX,alarme,,,FL-RX,Faisceau lumineux - module de réflexion/réception,501B légende alarme; 508B
Déclencheur manuel,alarme,carre,,,Poste manuel d'alarme,501B légende alarme; 508B
Panneau d'alarme incendie FAP,alarme,carre,,,Panneau de contrôle d'alarme incendie,501B légende; 508B
Annonciateur FAAP,alarme,carre,,,Panneau annonciateur d'alarme incendie,501B légende; 508B
Module d'interface AIM,alarme,carre,,,Module d'interface adressable (supervision),501B légende; 508B
Module de relais ARM,alarme,carre,,,Module de relais adressable (arrêt ventilateurs HVLS / UTA / volets),501B légende; 507B-508B identification
Bloc d'alimentation AI PS,alarme,carre,,,Bloc d'alimentation PS1/PS2 (circuits 34 P1-2PDPN4F-1 / 24 P1-2PDPN4N-1),508B identification 1 + 509B
Poteau de bois,autre,,,,Poteau de bois (ligne aérienne client) montré au plan,503B + 510B détail 6/7
Poteau de bois additionnel note D,autre,,,,Cinq poteaux de bois supplémentaires à prévoir (note D),503B note D
Puits d'accès électrique/télécom,autre,carre,,,Puits d'accès carré béton préfabriqué 815x815x900 (identification 1),503B identification 1
