libelle_humain,libelle_ia,proportion,appariees,humain,ia_libelle_total,humain_groupe,ecart_groupe,libelles_humains_partages,manquantes_ia,meme_position_libelle_different,repartition
VIDEO,,0.00,0,2,0,2,,,2,0,
2510,Interrupteur unipolaire,1.00,1,1,2,1,1,,0,0,Interrupteur unipolaire=1
B1000W,Plinthe B10,1.00,1,1,1,1,0,,0,0,Plinthe B10=1
B1500W,Raccordement VC,1.00,1,1,1,1,0,,0,0,Raccordement VC=1
B2500W,,0.00,0,1,0,1,,,1,0,
BARRE MISE A LA TERRE,,0.00,0,1,0,1,,,1,0,
BATTERIE UNIT 2T,Accumulateur AUBX,1.00,1,1,1,1,0,,0,0,Accumulateur AUBX=1
BOITIER CAMLOCK,Boîtier Camlock 200A,1.00,1,1,1,1,0,,0,0,Boîtier Camlock 200A=1
CAB,Cabinet mural télécom — fourni par autres,1.00,1,1,1,1,0,,0,0,Cabinet mural télécom — fourni par autres=1
CONDENSEUR,Raccordement COND,1.00,1,1,1,1,0,,0,0,Raccordement COND=1
CONTROL VOLUME,Sortie contrôle de volume,1.00,1,1,2,1,1,,0,0,Sortie contrôle de volume=1
INT WST-C-5D,,0.00,0,1,0,1,,,1,0,
MOTEUR .25HP 120V,Prise au-dessus du comptoir,1.00,1,1,6,1,5,,0,0,Prise au-dessus du comptoir=1
MOTEUR .5 HP 120V,Raccordement DEV,1.00,1,1,1,1,0,,0,0,Raccordement DEV=1
MOTEUR ECH,Raccordement ECH,1.00,1,1,1,1,0,,0,0,Raccordement ECH=1
MOTEUR PERC,Raccordement PECR,1.00,1,1,1,1,0,,0,0,Raccordement PECR=1
MOTEUR VA-2,Raccordement VA,1.00,1,1,2,3,-1,MOTEUR 1 HP 120V ; MOTEUR VA-2,0,0,Raccordement VA=1
MOTEUR VC,Raccordement serpentin SE,1.00,1,1,7,8,-1,MOTEUR VC ; SERPENTIN,0,0,Raccordement serpentin SE=1
MOTEUR VE-1,Raccordement ventilateur VE,1.00,1,1,4,4,0,CHAUFFE-EAU ; MOTEUR VE-1,0,0,Raccordement ventilateur VE=1
MOTEUR VE-3,Transformateur RC-TRNO-600,1.00,1,1,1,1,0,,0,0,Transformateur RC-TRNO-600=1
P.R,Détecteur de fumée,1.00,1,1,10,13,-3,DETECTEUR FUMÉ ; P.R,0,0,Détecteur de fumée=1
PCA,Panneau de contrôle d'accès PCA,1.00,1,1,1,1,0,,0,0,Panneau de contrôle d'accès PCA=1
PDI,Panneau de détection d'intrusion PDI,1.00,1,1,1,1,0,,0,0,Panneau de détection d'intrusion PDI=1
SORTIE MICROPHONE,Sortie microphone,1.00,1,1,1,1,0,,0,0,Sortie microphone=1
STROB,Klaxon + stroboscope,1.00,1,1,1,1,0,,0,0,Klaxon + stroboscope=1
T1500W,Raccordement chauffe-eau CE (36 kW),1.00,1,1,3,1,2,,0,0,Raccordement chauffe-eau CE (36 kW)=1
T4000W,,0.00,0,1,0,1,,,1,0,
