libelle_humain,libelle_ia,proportion,appariees,humain,ia_libelle_total,humain_groupe,ecart_groupe,libelles_humains_partages,manquantes_ia,meme_position_libelle_different,repartition
FIXTURE R6-NS,Projecteur D4-N,0.50,2,2,27,30,-3,90DEGRE ; FIXTURE R6-NS ; FIXTURE TYPE D4-N,0,1,Projecteur D4-NT1=1 ; Projecteur D4-N=1
FIXTURE TYPE O8-N,Linéaire O8-N,1.00,2,2,2,2,0,,0,0,Linéaire O8-N=2
NPP-16,Batterie U6,0.50,2,2,1,2,-1,,0,1,Batterie U6=1 ; Projecteur D3-N=1
PP1,,0.00,0,2,0,2,,,2,0,
RELO FIXTURE TYPE BB,Encastré B-B,1.00,2,2,2,2,0,,0,0,Encastré B-B=2
S03,,0.00,0,2,0,2,,,2,0,
SECHOIRE,Sèche-mains SM,1.00,2,2,2,2,0,,0,0,Sèche-mains SM=2
SW1,,0.00,0,2,0,2,,,2,0,
90DEGRE,Projecteur D4-N,1.00,1,1,27,30,-3,90DEGRE ; FIXTURE R6-NS ; FIXTURE TYPE D4-N,0,0,Projecteur D4-N=1
FIXTURE TYPE G3,Réglette G3,1.00,1,1,2,1,1,,0,0,Réglette G3=1
NPOD,Contrôleur NPOD,1.00,1,1,2,1,1,,0,0,Contrôleur NPOD=1
NPODMA,Interrupteur NPODMA,1.00,1,1,3,1,2,,0,0,Interrupteur NPODMA=1
NPP-PCD,,0.00,0,1,0,1,,,1,0,
SW6,,0.00,0,1,0,1,,,1,0,
T,,0.00,0,1,0,1,,,1,0,
TH,Détecteur WSXA,1.00,1,1,6,5,1,TH ; WSXA,0,0,Détecteur WSXA=1
