page_scan,page_acceo,section,objet,quantite,um,feuille_zone
5,4,ECLAIRAGE,FIXTURE TYPE S4,1,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE S5,1,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,alimentation d'éclairage 0-10 v…,450,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,BTE CPV MOULE JBXH 12X1…,2,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,RIZE 30202/RWC2YP10K CÂ…,300,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,ACCOUPL CPV 1PO,170,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,ACCOUPL CPV 2PO (AI),55,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,COUDE CPV 1PO 90D,48,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,COUDE CPV 2PO 90D (AI),10,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,ADAPT F CPV 1PO,4,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,ADAPT F CPV 2PO (AI),8,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,COND CPV 1PO 10PI,1700,P,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,COND CPV 2PO 10PI (AI),450,P,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,COLLE SOLVANT CPV 950M…,1,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,ADAPT M CPV 1PO,4,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,ADAPT M CPV 2PO (AI),4,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,10AWG 7 BRINS RWU90 100…,4320,P,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,12AWG 7 BRINS RWU90 100…,2160,P,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,conduit vide 3/4 (0s),0,P,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,conduit 3/4 03c10 (170s),1700,P,non indiqué (relevé global ACCEO)
6,5,ECLAIRAGE,conduit 3/4 03c12 (340s),3400,P,non indiqué (relevé global ACCEO)
6,5,ECLAIRAGE,16AWG 3C PVC FT4 600V GI…,2650,P,non indiqué (relevé global ACCEO)
6,5,ECLAIRAGE,conduit 3/4 07c12 (78s),780,P,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,PRIX DE LOT CHAUFFAGE,1,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE A — WFA4003TW 347V,6,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE C — SHU 4000W 347V C/A TH,2,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE C — SHU 1500W 347V C/A TH,2,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE B — SCAS 500W 347V,7,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE B — SCAS 750W 347V,10,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE B — SCAS 1000W 347V,5,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE B — SCAS 1500W 347V,8,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE B — SCAS 1250W 347V,1,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,RELAIS TRANSFO 347/24V,42,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE D — ALUX3 C/A ALUX3CBW 750…,3,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE D — ALUX3 C/A ALUX3CBW 1000…,1,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE D — ALUX3 C/A ALUX3 CBW 150…,13,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE D — ALUX3 C/A ALUX3CBW 1750…,1,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE D — ALUX3 C/A ALUX3CBW 2000…,2,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE D — ALUX3 C/A ALUX3CBW 2500…,4,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,LE TOUS C/A PLAQUE DE J…,1,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,TYPE E — THERMARAY AS1448-A00-3…,68,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,SÉCHOIR A MAIN COMAC O…,6,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,conduit 3/4 05c10 (45s),450,P,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,conduit 3/4 04c10 (9s),90,P,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,conduit 3/4 03c10 (29s),290,P,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,conduit 1 07c10 (34s),340,P,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,conduit 1 08c10 (18s),180,P,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,drop de chauffage bx2/12,61,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,BOITE CARRE 2-1/8PO KO 1…,95,U,non indiqué (relevé global ACCEO)
6,5,CHAUFFAGE,COUV CARRE 4PO VIERGE,50,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,PRIX DE LOT ALARME INCE[NDIE],1,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,PRIX DE LOT ALARME INCE[NDIE] (2e ligne),1,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,PANEAU ALARME,1,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,STATION MANUEL,10,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,DÉTECTEUR A FUMÉE,17,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,DÉTECTEUR DE GAINE,23,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,KLAXON/STROB,31,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,KAXON,13,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,STROB,23,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,GARDE PROTECTION STATI[ON],2,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,RETENU MAGETIQUE,11,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,ISOLATEUR,6,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,RELAIS ADRESSABLE,16,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,MODULE ADRESSABLE,7,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,GRILLAGE STROB,6,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,BOITE RECT 2-1/2PO OREILL…,10,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,BOITE OCTOG 1-1/2PO KO 1…,17,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,BOITE CARRE 2-1/8PO KO 1…,230,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,COUV CARRE 4PO VIERGE,100,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,CONN BX 3/8PO 1VIS ALLIA…,400,U,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,16AWG 3C ALARME ARME 3…,500,P,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,14AWG 3C ALARNE 150M 1C…,750,P,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,14AWG 3C ALARNE 300V 10…,2000,P,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,conduit vide 3/4 (185s),1850,P,non indiqué (relevé global ACCEO)
7,6,ALARME INCENDIE,COND ALARME 3/16 FT4 (185s),1850,P,non indiqué (relevé global ACCEO)
8,7,INTRUSION,PRIX DE LOT INTRUSION,1,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,PANNEAU,3,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,DETECTEUR DE REQUISITI[ON],1,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,DETECTEUR MOUVEMENT,14,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,CLAVIER,7,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,CAMERA DOME,14,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,CAMÉRA,14,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,DETECTEUR MOUVEMENT (2e ligne),14,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,SIRENE,1,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,GARDE DETECTEUR MOUVE[MENT],2,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,BOITIER S7001267 KEY SAF[E],1,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,BOITIER ALIMENTATION,6,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,BOITE RECT 2-1/2PO OREILL…,10,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,BOITE CARRE 2-1/8PO KO 1…,30,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,COUV CARRE 4PO VIERGE,30,U,non indiqué (relevé global ACCEO)
8,7,INTRUSION,conduit vide 3/4 (275s),2750,P,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,PRIX DE DE LOT SÉCURITÉ,1,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,PANNEAU,4,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,LECTEUR DE CARTE,9,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,BOITIER ALIMEMTATION,13,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,REX,1,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,GACHE,1,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,CONTACT DE PORTE,26,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,BOUTON HANDICAPÉ,14,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,OPÉRATEUR DE PORTE,7,U,non indiqué (relevé global ACCEO)
8,7,LECTEUR DE CARTE,GARDE LECTEUR,1,U,non indiqué (relevé global ACCEO)
