page_scan,section,objet,quantite,um,vendant_unit,vendant,temps_unit,temps_total,feuille_zone,note
3,DISTRIBUTION,PANNEAU PRINCIPAL,0,U,0.00,0.00,0.000,0.000,,
3,DISTRIBUTION,PP1 PANN 1200A 347/600V 3,1,U,0.00,0.00,32.000,32.000,,
3,DISTRIBUTION,1CELL TRANSITION,0,U,0.00,0.00,0.000,0.000,,
3,DISTRIBUTION,2 CELL MAIN DISJ 1200A 3PI,0,U,0.00,0.00,0.000,0.000,,
3,DISTRIBUTION,3 CELL,0,U,0.00,0.00,0.000,0.000,,
3,DISTRIBUTION,PANN TYPE 1.1,0,U,0.00,0.00,0.000,0.000,,
3,DISTRIBUTION,CENTRE DE COMPTEUR 12(,1,U,0.00,0.00,32.000,32.000,,
3,DISTRIBUTION,5 COLLONNE C/A 25 MESUR,0,U,0.00,0.00,0.000,0.000,,
3,DISTRIBUTION,CENTRE DE COMPTEUR 12(,2,U,0.00,0.00,32.000,64.000,,
3,DISTRIBUTION,5 COLONNE C/A 28 MESURA,0,U,0.00,0.00,0.000,0.000,,
3,DISTRIBUTION,CENTRE COMPTEUR 1200A,1,U,0.00,0.00,32.000,32.000,,
3,DISTRIBUTION,4COLONNE C/A 19 MESURA,0,U,0.00,0.00,0.000,0.000,,
3,DISTRIBUTION,CENTRE COMPTEUR 1200A,2,U,0.00,0.00,32.000,64.000,,
3,DISTRIBUTION,4COLONNE C/A 20MESURA(,0,U,0.00,0.00,0.000,0.000,,
3,DISTRIBUTION,BOITE DE RACCORD 1200A,6,U,0.00,0.00,16.000,96.000,,
4,DISTRIBUTION (suite),PANN TYPE 1.1 100A 120/24,55,U,0.00,0.00,6.000,330.000,,
4,DISTRIBUTION (suite),1X40A2P 1X30A2P 1X20A2P,0,U,,,,,,
4,DISTRIBUTION (suite),7X15A DCAA 1X20A1P DCAA,0,U,,,,,,
4,DISTRIBUTION (suite),PANN TYPE 2.1 100A 120/24,8,U,0.00,0.00,6.000,48.000,,
4,DISTRIBUTION (suite),1X40A2P 2X30A2P 1X15A2P,0,U,,,,,,
4,DISTRIBUTION (suite),1X20A1P DCAA 7X15A1P DC,0,U,,,,,,
4,DISTRIBUTION (suite),PANN TYPE 2.3 100A 120/24,1,U,0.00,0.00,6.000,6.000,,
4,DISTRIBUTION (suite),1X40A2P 2X30A2P 1X25A2P,0,U,,,,,,
4,DISTRIBUTION (suite),1X20A1P DCAA 7X151P DCA,0,U,,,,,,
4,DISTRIBUTION (suite),PANN TYPE 3.1 100A 120/24,5,U,0.00,0.00,6.000,30.000,,
4,DISTRIBUTION (suite),1X40A2P 1X30A2P 3X20A2P,0,U,,,,,,
4,DISTRIBUTION (suite),2X15A1P 7X15A1P DCAA 1X,0,U,,,,,,
4,DISTRIBUTION (suite),PANN TYPE 4 100A 120/240,2,U,0.00,0.00,6.000,12.000,,
4,DISTRIBUTION (suite),1X40A2P 2X30A2P 1X35A2P,0,U,,,,,,
4,DISTRIBUTION (suite),2X15A1P 1X20A1P DCAA 7X,0,U,,,,,,
4,DISTRIBUTION (suite),PANN TYPE 1.2 100A 120/24,11,U,0.00,0.00,6.000,66.000,,
4,DISTRIBUTION (suite),1X40A2P 1X30A2P 2X20A2P,0,U,,,,,,
4,DISTRIBUTION (suite),2X15A1P 1X20A1P DCAA 7X,0,U,,,,,,
4,DISTRIBUTION (suite),PANN TYPE 2.2 100A 120/24,53,U,0.00,0.00,6.000,318.000,,
4,DISTRIBUTION (suite),1X40A2P 2X30A2P 1X20A2P,0,U,,,,,,
4,DISTRIBUTION (suite),2X15A1P 1X20A1P DCAA 7X,0,U,,,,,,
4,DISTRIBUTION (suite),PANN TYPE 3.2 100A 120/24,4,U,0.00,0.00,6.000,24.000,,
4,DISTRIBUTION (suite),1X40A2P 1X30A2P 2X20A2P,0,U,,,,,,
4,DISTRIBUTION (suite),2X15A1P 1X20A1P DCAA 7X,0,U,,,,,,
4,DISTRIBUTION (suite),PANN TYPE 2.4 100A 120/24,1,U,0.00,0.00,6.000,6.000,,
4,DISTRIBUTION (suite),1X40A2P 2X30A2P 1X35A2P,0,U,,,,,,
4,DISTRIBUTION (suite),2X15A1P 1120A1P DCAA 7X,0,U,,,,,,
4,DISTRIBUTION (suite),PANN S 347/600V 3PH 4F 60,1,U,0.00,0.00,8.000,8.000,,
4,DISTRIBUTION (suite),1X150A3P 2X60A3P 1X90A3I,0,U,,,,,,
4,DISTRIBUTION (suite),8X20A1P 1X30A1P 1X50A3F,0,U,,,,,,
4,DISTRIBUTION (suite),PANN S1-1 200A 120/208V 3I,1,U,0.00,0.00,8.000,8.000,,
4,DISTRIBUTION (suite),2X15A2P 1X15A3P 17X15A1I,0,U,,,,,,
4,DISTRIBUTION (suite),PANN S2-1 200A 120/208V 3I,1,U,0.00,0.00,8.000,8.000,,
4,DISTRIBUTION (suite),1X45A3P 1X153P 1X50A2P 1,0,U,,,,,,
4,DISTRIBUTION (suite),10X15A1P 2X20A1P 5X25A1I,0,U,,,,,,
4,DISTRIBUTION (suite),PANN UE 200A 347/600V 3PI,1,U,0.00,0.00,8.000,8.000,,
4,DISTRIBUTION (suite),1X40A3P 2X50A3P 4X20A3P,0,U,,,,,,
4,DISTRIBUTION (suite),PANN UE1-1 100A 120/208V,1,U,0.00,0.00,8.000,8.000,,
4,DISTRIBUTION (suite),1X35A3P 1X15A3P 1X30A2P,0,U,,,,,,
4,DISTRIBUTION (suite),PANN UE2-1 100A 120/208V,1,U,0.00,0.00,8.000,8.000,,
4,DISTRIBUTION (suite),1X20A3P 30X15A1P,0,U,,,,,,
4,DISTRIBUTION (suite),PANN UNE 100A 347/600V 3I,1,U,0.00,0.00,8.000,8.000,,
4,DISTRIBUTION (suite),1X60A3P 6X15A3P,0,U,,,,,,
4,DISTRIBUTION (suite),PANN UNE1 100A 120/208V,1,U,0.00,0.00,6.000,6.000,,
4,DISTRIBUTION (suite),1X60A3P 3X20A1P 1X15A1P,0,U,,,,,,
4,DISTRIBUTION (suite),PANN UNE2 60A 120/208V 3I,1,U,0.00,0.00,6.000,6.000,,
4,DISTRIBUTION (suite),1X15A1P,0,U,,,,,,
4,DISTRIBUTION (suite),PANN UE1.2 60A 120/208V 3,1,U,0.00,0.00,6.000,6.000,,
4,DISTRIBUTION (suite),9X15A1P,0,U,,,,,,
4,DISTRIBUTION (suite),PANN UE2.2 60A 120/208V 3,1,U,0.00,0.00,6.000,6.000,,
4,DISTRIBUTION (suite),13X15A1P,0,U,,,,,,
4,DISTRIBUTION (suite),PANN PP2 400A 347/600V 3I,1,U,0.00,0.00,6.000,6.000,,
4,DISTRIBUTION (suite),3X350A2P,0,U,,,,,,
4,DISTRIBUTION (suite),PANN PP3 400A 347/600V 3F,1,U,0.00,0.00,6.000,6.000,,
4,DISTRIBUTION (suite),3X400A2P,0,U,,,,,,
4,DISTRIBUTION (suite),PANN S1.2 60A 120/208V 3I,1,U,0.00,0.00,6.000,6.000,,
4,DISTRIBUTION (suite),4X15A 1P,0,U,,,,,,
5,DISTRIBUTION (suite),PANN S2.2 60A 120/208V 3PI,1,U,0.00,0.00,6.000,6.000,,
5,DISTRIBUTION (suite),4X15A1P,0,U,,,,,,
5,DISTRIBUTION (suite),PANN PC 125A 120/208V 3P,1,U,0.00,0.00,6.000,6.000,,
5,DISTRIBUTION (suite),TRANSFO 250KVA 600/120/2,3,U,0.00,0.00,22.000,66.000,,
5,DISTRIBUTION (suite),TRANSFO 200 KVA 600/120/2,3,U,0.00,0.00,20.000,60.000,,
5,DISTRIBUTION (suite),TRANSFO 45KVA 600/120/20,2,U,0.00,0.00,12.000,24.000,,
5,DISTRIBUTION (suite),TRANSFO 30KVA 600/120/20,1,U,0.00,0.00,10.000,10.000,,
5,DISTRIBUTION (suite),SECTIONNEUR 400A347/600,1,U,0.00,0.00,7.000,7.000,,
5,DISTRIBUTION (suite),SECTIONNEUR 100A347/600,2,U,0.00,0.00,3.500,7.000,,
5,DISTRIBUTION (suite),PLYWOOD 4X8X3/4,40,U,150.00,6000.00,1.000,40.000,,
5,DISTRIBUTION (suite),SOCLE TSS,1,U,5000.00,5000.00,8.000,8.000,,
5,DISTRIBUTION (suite),SUPP HQ 4 1/2X2PO MONO-,264,U,7.79,2055.64,0.100,26.400,,
5,DISTRIBUTION (suite),COND HQ 4-1/2PO PVC 6M F,1320,P,16.37,21606.85,0.060,79.200,,
5,DISTRIBUTION (suite),COUDE HQ 4 1/2X60PO 90D,12,U,267.10,3205.20,0.200,2.400,,
5,DISTRIBUTION (suite),COUDE TYPEII 4X60PO 45D,6,U,142.88,857.29,0.200,1.200,,
5,DISTRIBUTION (suite),BOUT EVASE HQ 4 1/2PO,20,U,38.06,761.25,0.200,4.000,,
5,DISTRIBUTION (suite),ACCOUPL HQ 4 1/2PO,150,U,12.83,1924.59,0.100,15.000,,
5,DISTRIBUTION (suite),COLLE SOLVANT CPV 4LITR,1,U,115.79,115.79,0.000,0.000,,
5,DISTRIBUTION (suite),COND HQ 4-1/2PO PVC 6M F,240,P,16.37,3928.52,0.060,14.400,,
5,DISTRIBUTION (suite),SUPP HQ 4 1/2X2PO MONO-,48,U,7.79,373.75,0.100,4.800,,
5,DISTRIBUTION (suite),ACCOUPL HQ 4 1/2PO,28,U,12.83,359.26,0.100,2.800,,
5,DISTRIBUTION (suite),BOUT EVASE HQ 4 1/2PO,16,U,38.06,609.00,0.200,3.200,,
5,DISTRIBUTION (suite),ACCOUPL HQ 4 1/2PO,66,U,12.83,846.82,0.100,6.600,,
5,DISTRIBUTION (suite),BOUT EVASE HQ 4 1/2PO,16,U,38.06,609.00,0.200,3.200,,
5,DISTRIBUTION (suite),COUDE HQ 4 1/2X60PO 90D,24,U,267.10,6410.39,0.200,4.800,,
5,DISTRIBUTION (suite),600MCM RW90 ALUM NOIR,800,P,3.99,3190.40,0.052,41.600,,
5,DISTRIBUTION (suite),2AWG 7 BRINS RWU90 1000,200,P,2.82,563.51,0.014,2.800,,
5,DISTRIBUTION (suite),TIGE MALT 10PI 3/4PO CUI F,4,U,96.21,384.83,1.000,4.000,,
5,DISTRIBUTION (suite),Copper Figure 6 Ground Tap,4,U,76.67,306.68,1.000,4.000,,
5,DISTRIBUTION (suite),4/0AWG CUIVRE NU ETAME,80,P,10.35,827.74,0.030,2.400,,
5,DISTRIBUTION (suite),COND TYPEII 4PO 10PI,1200,P,4.08,4900.08,0.060,72.000,,
5,DISTRIBUTION (suite),MANCHON TYPEII 4PO COLI,138,U,10.79,1489.54,0.100,13.800,,
5,DISTRIBUTION (suite),COUDE TYPEII 4X60PO 90D,12,U,236.66,2839.94,0.200,2.400,,
5,DISTRIBUTION (suite),COUDE TYPEII 4X60PO 45D,6,U,142.88,857.29,0.200,1.200,,
5,DISTRIBUTION (suite),SUPP HQ 4X2PO MONO-BLC,240,U,7.29,1749.60,0.100,24.000,,
5,DISTRIBUTION (suite),SUPP HQ 4 1/2X2PO MONO-,44,U,7.79,342.61,0.100,4.400,,
5,DISTRIBUTION (suite),COND HQ 4-1/2PO PVC 6M F,220,P,16.37,3601.14,0.060,13.200,,
5,DISTRIBUTION (suite),BOUT EVASE HQ 4 1/2PO,4,U,38.06,152.25,0.200,0.800,,
5,DISTRIBUTION (suite),COUDE HQ 4 1/2X60PO 90D,6,U,267.10,1602.60,0.200,1.200,,
5,DISTRIBUTION (suite),COND TME 2PO,1550,P,4.55,7049.87,8.000,124.000,,
5,DISTRIBUTION (suite),COUDE TME 2PO 90D,24,U,14.51,348.29,0.400,9.600,,
5,DISTRIBUTION (suite),CONN TME 2PO VIS ZINC,18,U,5.95,107.15,0.200,3.600,,
5,DISTRIBUTION (suite),ACCOUPL TME 2PO VIS ZINC,179,U,5.20,930.62,0.000,0.000,,
5,DISTRIBUTION (suite),250MCM 37 BRINS RW90600,6560,P,2.01,13216.00,0.036,236.160,,
5,DISTRIBUTION (suite),4AWG 7 BRINS RWU90 1000,1640,P,0.52,852.42,0.012,19.680,,
5,DISTRIBUTION (suite),COND FLEX 2-1/2PO ALUM E,90,P,11.48,1033.30,0.165,14.850,,
5,DISTRIBUTION (suite),COND FLEX 2PO ALUM BOB,150,P,9.06,1359.48,0.154,23.100,,
5,DISTRIBUTION (suite),COND TME 2PO,1000,P,4.55,4548.30,8.000,80.000,,
5,DISTRIBUTION (suite),COND TME 2-1/2PO,510,P,8.62,4396.46,9.000,45.900,,
5,DISTRIBUTION (suite),COUDE TME 2PO 90D,85,U,14.51,1233.51,0.400,34.000,,
5,DISTRIBUTION (suite),COUDE TME 2-1/2PO 90D,69,U,35.30,2435.53,0.500,34.500,,
5,DISTRIBUTION (suite),CONN TME 2PO VIS ZINC,60,U,5.95,357.16,0.200,12.000,,
5,DISTRIBUTION (suite),CONN TME 21/2PO VIS ZINC,36,U,13.54,487.58,0.300,10.800,,
5,DISTRIBUTION (suite),ACCOUPL TME 2PO VIS ZINC,185,U,5.20,961.82,0.000,0.000,,
5,DISTRIBUTION (suite),ACCOUPL TME 2-1/2PO VIS,120,U,13.04,1564.34,0.000,0.000,,
5,DISTRIBUTION (suite),EMBOUT 2PO PLAST (AI),60,U,0.89,53.61,0.030,1.800,,
5,DISTRIBUTION (suite),EMBOUT 2-1/2PO PLAST (AI),69,U,1.33,91.47,0.030,2.070,,
6,DISTRIBUTION (suite),CONN BX 2PO 90D 2VIS ALL,30,U,38.56,1156.82,0.250,7.500,,
6,DISTRIBUTION (suite),CONN BX 2-1/2PO 90D 2VIS,18,U,154.24,2776.35,0.280,5.040,,
6,DISTRIBUTION (suite),CONN BX 2-1/2PO 2VIS,18,U,56.86,1023.45,0.280,5.040,,
6,DISTRIBUTION (suite),CONN BX 2PO 1VIS,30,U,14.78,443.49,0.250,7.500,,
6,DISTRIBUTION (suite),ACCOUPL RIG 2PO GALV,30,U,9.12,273.70,0.200,6.000,,
6,DISTRIBUTION (suite),ACCOUPL RIG 2-1/2PO GALV,18,U,23.25,418.47,0.200,3.600,,
6,DISTRIBUTION (suite),RAIL 1-5/8X1-5/8PO GALV CH,1250,P,7.48,9348.00,0.100,125.000,,
6,DISTRIBUTION (suite),COURROIE 2PO CABLE & CO,125,U,3.17,395.81,0.000,0.000,,
6,DISTRIBUTION (suite),COURROIE 2-1/2PO CABLE,64,U,4.87,311.39,0.000,0.000,,
6,DISTRIBUTION (suite),250MCM 37 BRINS RW90600,4330,P,2.01,8723.36,0.036,155.880,,
6,DISTRIBUTION (suite),2AWG 7 BRINS RW90 600V9,2135,P,0.64,1356.84,0.014,29.890,,
6,DISTRIBUTION (suite),350MCM 37 BRINS RW90600,2025,P,2.41,4880.97,0.042,85.050,,
6,DISTRIBUTION (suite),COND TME 2PO,130,P,4.55,591.28,8.000,10.400,,
6,DISTRIBUTION (suite),COUDE TME 2PO 90D,4,U,14.51,58.05,0.400,1.600,,
6,DISTRIBUTION (suite),CONN TME 2PO VIS ZINC,4,U,5.95,23.81,0.200,0.800,,
6,DISTRIBUTION (suite),ACCOUPL TME 2PO VIS ZINC,17,U,5.20,88.38,0.000,0.000,,
6,DISTRIBUTION (suite),EMBOUT 2PO PLAST (AI),4,U,0.89,3.57,0.030,0.120,,
6,DISTRIBUTION (suite),COURROIE 2PO CABLE & CO,20,U,3.17,63.33,0.000,0.000,,
6,DISTRIBUTION (suite),2/0AWG 19 BRINS RW90 600,600,P,1.03,620.67,0.024,14.400,,
6,DISTRIBUTION (suite),1AWG 19 BRINS RW90 600V,150,P,0.81,121.57,0.015,2.250,,
6,DISTRIBUTION (suite),conduit 3/4 04c10,880 (88s),P,,2906.45,0.064,70.400,,
6,DISTRIBUTION (suite),QUINCAILLERIE,1,U,6500.00,6500.00,0.000,0.000,,
6,DISTRIBUTION (suite),SOMMAIRE DISTRIBUTION,,,,384453.08,,3030.330,,
6,ÉCLAIRAGE,PRIX DE LOT FIXTURE,1,U,19813.00,19813.00,0.000,0.000,,
6,ÉCLAIRAGE,STRIP,214,U,0.00,0.00,0.750,160.500,,
6,ÉCLAIRAGE,APPLIQUE MURAL EXT,10,U,0.00,0.00,0.750,7.500,,
6,ÉCLAIRAGE,PLAFONNIER,207,U,0.00,0.00,0.750,155.250,,
6,ÉCLAIRAGE,APPLIQUE MURAL BALCON,140,U,0.00,0.00,0.750,105.000,,
6,ÉCLAIRAGE,BOITE OCTOG 1-1/2PO KO 1,571,U,7.96,4546.87,0.200,114.200,,
6,ÉCLAIRAGE,conduit 3/4 03c12,3250 (325s),P,,7484.04,0.055,230.750,,
6,ÉCLAIRAGE,conduit 3/4 07c12,750 (75s),P,,2619.59,0.075,68.250,,
6,ÉCLAIRAGE,SOMMAIRE ÉCLAIRAGE,,,,34463.50,,841.450,,
7,CHAUFFAGE,PRIX DE LOT CHAUFFAGE,1,U,59920.77,59920.77,0.000,0.000,,
7,CHAUFFAGE,PLINTHE B300W 240V,157,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,PLINTHE B500W 240V,26,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,PLINTHE B1000W 240V,203,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,PLINTHE B1250W 240V,46,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,PLINTHE B1500W 240V,6,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,RWF 1000W 240V,14,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,RWF 1250W 240V,25,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,RWF 1500W 240V,71,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,RWF 2000W 240V,38,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,PLINTHE B 1000W 347V,30,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,PLINTHE B300W 347V,2,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,WFA4000W 347V,2,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,THERMOSTAT,398,U,0.00,0.00,0.000,0.000,,
7,CHAUFFAGE,SOMMAIRE CHAUFFAGE,,,,59920.77,,0.000,,
7,ALARME INCENDIE,PRIX DE LOT ALARME (annot. P/F),1,U,81000.00,81000.00,0.000,0.000,,
7,ALARME INCENDIE,PANNEAU ALARME,1,U,0.00,0.00,8.000,8.000,,
7,ALARME INCENDIE,PANNEAU ANNONCIATEUR,1,U,0.00,0.00,8.000,8.000,,
7,ALARME INCENDIE,STATION MANUEL,37,U,0.00,0.00,0.500,18.500,,
7,ALARME INCENDIE,DÉTECTEUR FUMÉ,105,U,0.00,0.00,0.500,52.500,,
7,ALARME INCENDIE,DÉTECTEUR DE GAINE,34,U,0.00,0.00,2.000,68.000,,
7,ALARME INCENDIE,DÉTECTEUR FUMÉ ET MON,1,U,0.00,0.00,0.500,0.500,,
7,ALARME INCENDIE,KLAXON,50,U,0.00,0.00,0.500,25.000,,
7,ALARME INCENDIE,KLAXON STROB,362,U,0.00,0.00,0.500,181.000,,
7,ALARME INCENDIE,PANN INX,14,U,0.00,0.00,0.500,7.000,,
7,ALARME INCENDIE,COMUNICATEUR INTERNET,1,U,0.00,0.00,0.750,0.750,,
7,ALARME INCENDIE,RELAIS ADRESSABLE,31,U,0.00,0.00,0.500,15.500,,
8,ALARME INCENDIE (suite),MODULE ADRESSABLE,28,U,0.00,0.00,0.500,14.000,,
8,ALARME INCENDIE (suite),DETECTEUR DÉBIT,17,U,0.00,0.00,0.500,8.500,,
8,ALARME INCENDIE (suite),DETECTEUR VANNE,22,U,0.00,0.00,0.500,11.000,,
8,ALARME INCENDIE (suite),COND ALARME 3/16 FT4,5230 (523s),P,,7345.95,0.042,282.420,,
8,ALARME INCENDIE (suite),16AWG 3C ALARME ARME 3,20350,P,1.30,26449.84,0.028,569.800,,
8,ALARME INCENDIE (suite),conduit vide 1 1/4,120 (12s),P,,539.96,0.068,11.760,,
8,ALARME INCENDIE (suite),conduit vide 1,120 (12s),P,,289.19,0.050,8.400,,
8,ALARME INCENDIE (suite),16AWG 3C ALARME 300V 10,6750,P,0.59,3985.92,0.007,47.250,,
8,ALARME INCENDIE (suite),BOITE RECT 2-1/2PO OREILI,37,U,6.97,258.07,0.200,7.400,,
8,ALARME INCENDIE (suite),BOITE OCTOG 1-1/2PO KO 1,106,U,7.96,844.08,0.200,21.200,,
8,ALARME INCENDIE (suite),COUV CARRE 4PO VIERGE,50,U,1.50,74.93,0.050,2.500,,
8,ALARME INCENDIE (suite),BOITE CARRE 2-1/8PO KO 1.,552,U,6.18,3410.15,0.250,138.000,,
8,ALARME INCENDIE (suite),BOITE D 8X8X4PO CEMA1,10,U,12.21,122.10,0.600,6.000,,
8,ALARME INCENDIE (suite),SOMMAIRE ALARME INCENDIE,,,,124320.19,,1512.980,,
8,GÉNÉRATRICE,GENERATRICE 150KW 347/6,1,U,0.00,0.00,16.000,16.000,,
8,GÉNÉRATRICE,TRANSFERT SWITCHT 100A,1,U,0.00,0.00,6.000,6.000,,
8,GÉNÉRATRICE,TRANSFERT SWITCH 200A3,1,U,0.00,0.00,6.000,6.000,,
8,GÉNÉRATRICE,COND TME 2-1/2PO,380,P,8.62,3275.79,9.000,34.200,,
8,GÉNÉRATRICE,COUDE TME 2-1/2PO 90D,4,U,35.30,141.19,0.500,2.000,,
8,GÉNÉRATRICE,CONN TME 21/2PO VIS ZINC,6,U,13.54,81.26,0.300,1.800,,
8,GÉNÉRATRICE,ACCOUPL TME 2-1/2PO VIS,42,U,13.04,547.52,0.000,0.000,,
8,GÉNÉRATRICE,COURR TME 1-1/2PO 1TROU,50,U,1.48,74.23,0.000,0.000,,
8,GÉNÉRATRICE,250MCM 37 BRINS RW9060C,1600,P,2.01,3223.41,0.036,57.600,,
8,GÉNÉRATRICE,4AWG 7 BRINS RWU90 1000,400,P,0.52,207.91,0.012,4.800,,
8,GÉNÉRATRICE,LB 2-1/2PO VIS ALUM,1,U,202.67,202.67,0.600,0.600,,
8,GÉNÉRATRICE,BOITE D 16X16X6PO CEMA1,2,U,46.94,93.88,1.400,2.800,,
8,GÉNÉRATRICE,COND FLEX 2-1/2PO ALUM E,5,P,11.48,57.41,0.165,0.825,,
8,GÉNÉRATRICE,CONN BX 2-1/2PO 90D 2VIS,1,U,154.24,154.24,0.280,0.280,,
8,GÉNÉRATRICE,EMBOUT 2-1/2PO PLAST (AI),1,U,1.33,1.33,0.030,0.030,,
8,GÉNÉRATRICE,conduit 3/4 07c12,380 (38s),P,,1327.26,0.075,34.580,,
8,GÉNÉRATRICE,SOMMAIRE GÉNÉRATRICE,,,,9388.10,,167.515,,
9,URGENCE,PRIX DE LOT,1,U,0.00,0.00,0.000,0.000,,
9,URGENCE,ENSEIGNE SORTIE,72,U,0.00,0.00,0.000,0.000,,
9,URGENCE,BOITE OCTOG 1-1/2PO KO 1,72,U,7.96,573.34,0.200,14.400,,
9,URGENCE,alimentation éclairage,72,U,10.98,790.56,0.350,25.200,,
9,URGENCE,SOMMAIRE URGENCE,,,,1363.90,,39.600,,
9,LOGEMENT,PRISE 15A 125V,2166,U,45.00,97470.00,0.600,1299.600,,
9,LOGEMENT,PRISE CONTROLE,588,U,45.00,26460.00,0.600,352.800,,
9,LOGEMENT,PRISE GFI,344,U,65.00,22360.00,0.600,206.400,,
9,LOGEMENT,PRISE GFI WP,156,U,75.00,11700.00,0.750,117.000,,
9,LOGEMENT,PRISE POELE,142,U,205.00,29110.00,1.000,142.000,,
9,LOGEMENT,PRISE SÉCHEUSE,142,U,125.00,17750.00,0.750,106.500,,
9,LOGEMENT,SORTIE TEL,196,U,18.00,3528.00,0.400,78.400,,
9,LOGEMENT,SORTIE TV,142,U,18.00,2556.00,0.400,56.800,,
9,LOGEMENT,BOITIER 3000,142,U,0.00,0.00,1.000,142.000,,
9,LOGEMENT,VENTILATEUR,35,U,39.00,1365.00,0.500,17.500,,
9,LOGEMENT,EVAPORATEUR,142,U,39.00,5538.00,0.500,71.000,,
9,LOGEMENT,CONDENSEUR,142,U,90.00,12780.00,0.500,71.000,,
9,LOGEMENT,HOTTE,142,U,39.00,5538.00,0.500,71.000,,
9,LOGEMENT,BOITIER INTERR 30A CEMA,142,U,90.87,12903.54,1.000,142.000,,
9,LOGEMENT,DETECTEUR FUMÉ/MONOX,387,U,90.00,34830.00,0.500,193.500,,
9,LOGEMENT,SORTIE ECL,3000,U,39.00,117000.00,0.600,1800.000,,
