label,famille,forme,rgb,jeton_regex,description,source
Détecteur de fumée,alarme,cercle,,DF1,Détecteur de fumée raccordé au panneau d'alarme (DF1),E100 légende alarme (DF1)
Détecteur de fumée de gaine,alarme,cercle,,DF2,Détecteur de fumée de gaine fourni et raccordé par électricien installé par ventilation (DF2),E100 légende alarme (DF2)
Détecteur fumée/CO,alarme,cercle,,DF3,Détecteur de fumée et monoxyde de carbone raccordé au panneau (DF3),E100 légende alarme (DF3)
Détecteur thermique,alarme,cercle,,TH,Détecteur thermique raccordé au panneau d'alarme (TH),E100 légende alarme (TH)
Déclencheur manuel,alarme,carre,,DM,Déclencheur manuel (DM),E100 légende alarme (DM)
Résistance fin de ligne,alarme,carre,,WW,Résistance de fin de ligne (WW),E100 légende alarme (WW)
Module adressable,alarme,carre,,MA|MA-10,Module adressable de réception deux entrées (MA / MA-10),E100 légende alarme (MA)
Supervision vanne gicleur,alarme,carre,,DV,Supervision de vanne du système de gicleur (DV),E100 légende alarme (DV)
Détecteur débit gicleur,alarme,carre,,DD,Détecteur de débit du système de gicleur (DD),E100 légende alarme (DD)
Relais adressable,alarme,carre,,R,Relais adressable (R),E100 légende alarme (R)
Module isolateur,alarme,carre,,I,Module isolateur de ligne (I),E100 légende alarme (I)
Panneau INX,alarme,carre,,INX,Panneau INX (alimentation de signalisation),E100 légende alarme (INX)
Équipement alarme — à classer,alarme,carre,,,Symbole d'alarme vu au plan sans correspondance claire — à confirmer,relevé visuel
