label,famille,forme,rgb,jeton_regex,description,source
Prise duplex,prise,cercle,,,Prise de courant duplex (cercle rouge),E103 prises et services
Prise duplex DDFT,prise,cercle,,,Prise duplex avec détection de faute à la terre (carré plein),E103 prises et services
Prise DDFT Ei,prise,cercle,,,Prise duplex DDFT à l'épreuve des intempéries (carré plein + Ei),E103 prises et services
Prise cuisinière C,prise,cercle,,,Cercle « C » — prise cuisinière 50A (E-08) à confirmer,E103 prises et services ; cédules PS-2/PS-5 CUISINIÈRE
Sortie data mobilier,telecom,triangle,,,Sortie data installée dans le mobilier (triangle dans carré),E103 télécom « installée dans le mobilier »
Prise micro-onde,prise,cercle,,,Prise duplex pour micro-onde (MO),E103 prises et services
Prise mobilier,prise,carre,,,Prise duplex à installer dans le mobilier (carré),E103 prises et services
Sortie data,telecom,triangle,,,Sortie data/téléphone (triangle magenta),E103 télécom
Raccord CC équipement,distribution,carre,,CC,Raccordement direct avec coupe-circuit (triangle plein + CC),E103 raccords ; E104 CC coupe-circuit
Raccord lave-vaisselle,mecanique,cercle,,LV,Raccord lave-vaisselle (cercle LV),E103 raccords
Raccord sèche-main,mecanique,carre,,SM,Carré « SM » = sèche-main (absent de la légende ; identifié par cédules SÈCHE-MAIN (108/208/302)),E406/E407/E408 + E600 addenda
Raccord hotte Ht,mecanique,cercle,,,Hotte pour cuisinière à raccorder (cercle Ht),E103 raccords
Raccord pompe,mecanique,cercle,,,Pompe fournie par autres à raccorder (SPP/SPS/PC),E103 raccords ; E200 ; cédule P-P1
Raccord chauffage,chauffage,carre,,,Départ chauffage (ABV C) sans symbole au plan,E600 addenda cédule P-P1
Raccord borne VE,distribution,carre,,,Borne de recharge VE EVDUTY-40 (E-45) — BRVE-01/02,E600 addenda cédule PS-5 ; E102 E-45
Raccord évier électrique,mecanique,cercle,,,Raccord de valve électrique (évier) — cédules « ÉVIER ÉLECTRIQUE »,E103 raccords ; E600 addenda
Raccord équipement — cédule,mecanique,carre,,,Départ vers équipement (Q) sans symbole au plan,E600 addenda / E200
Avertisseur visuel,alarme,cercle,,,Avertisseur visuel (⊗ avec candela 15/30) couplé au klaxon,E103 alarme incendie
Module transmission TRA,alarme,carre,,,Module de transmission à la centrale (hexagone TRA),E103 alarme incendie ; E102 E-72/E-73
Panneau d'alarme PAI,alarme,carre,,,Panneau de détection et signalisation d'alarme incendie (hexagone PAI),E103 alarme incendie ; E102 E-49
Poste-maître intercom PMI,telecom,carre,,,Rectangle « PMI » — poste maître intercom (E104),E104 intercom
Panneau,distribution,carre,,,Panneau de distribution (PS-x / P-P1),E405-E408 plans ; E200
Transformateur,distribution,carre,,,Transformateur sec (Xfo),E405 ; E200 ; E102 E-43/E-44
Sectionneur,distribution,carre,,,Sectionneur 600A (F/SF),E405 ; E200 ; E102 E-30
Mesurage Hydro-Québec,distribution,carre,,,Coffret de mesurage MHQ,E405 ; E200 ; E102 E-31
Phare simple — sans étiquette,secours,triangle,,,Phare simple sans étiquette PH1,E402 vu
Luminaire ovale — à classer,luminaire,cercle,,,Anneau orange suspendu sans étiquette (ACCUEIL E401) — hors légende,vu E401
Luminaire extérieur — à classer,luminaire,cercle,,,Cercle pointé mural « VERS CME-01 » sans étiquette,vu E401
Cercle barré fléché — à classer,autre,cercle,,,Cercle bleu barré avec flèche (lettres 3/g) — hors légende,vu E403
TS — à classer,autre,cercle,,,Cercle vert « TS » au SAS — hors légende,vu E406
Symbole vert pointillé — à classer,autre,carre,,,Carré pointillé vert avec ⊗ au SAS — hors légende,vu E406
