page_scan,section,objet,quantite,um,vendant_unit_$,temps_unit_h,feuille_zone,note
3,DISTRIBUTION,TIGE MALT 10PI 3/4PO CUI(VRE),3,U,96.21,1.000,Général,
3,DISTRIBUTION,Copper Figure 6 Ground Tap,3,U,76.67,1.000,Général,
3,DISTRIBUTION,BARRE MISE A TERRE 1/4X2,2,U,600.13,1.000,Général,
3,DISTRIBUTION,POTEAU 30pi,1,U,2500.00,8.000,Général,
3,DISTRIBUTION,KIT HAUBAN,1,U,250.00,4.000,Général,
3,DISTRIBUTION,TERRIERE,1,U,2500.00,0.000,Général,
3,DISTRIBUTION,BOOM TRUCK,1,U,1500.00,8.000,Général,
3,DISTRIBUTION,PUIT TIRAGE,2,U,5500.00,8.000,Général,
3,DISTRIBUTION,PROTEGE BUTOIR 2 COND,1,U,254.46,4.000,Général,
3,DISTRIBUTION,2/0AWG 19BRINS CUIVRE N(U),50,P,6.03,0.030,Général,
3,DISTRIBUTION,ACCOUPL CPV 4PO,357,U,23.67,0.000,Général,
3,DISTRIBUTION,COUDE CPV 4PO 45D,4,U,139.27,1.000,Général,
3,DISTRIBUTION,COUDE CPV 4PO 90D,3,U,135.67,1.000,Général,
3,DISTRIBUTION,JOINT EXPANS CPV 4PO,2,U,286.30,0.500,Général,
3,DISTRIBUTION,ADAPT F CPV 4PO,1,U,36.00,0.400,Général,
3,DISTRIBUTION,COND CPV 4PO 10PI,350,P,18.67,0.200,Général,
3,DISTRIBUTION,COLLE SOLVANT CPV 950M(L),1,U,33.69,0.000,Général,
3,DISTRIBUTION,ADAPT M CPV 4PO,1,U,36.00,0.400,Général,
3,DISTRIBUTION,SUPP HQ 4X2PO MONO-BLO(C),70,U,7.29,0.100,Général,
3,DISTRIBUTION,COND CPV 4PO 10PI,1100,P,18.67,0.200,Général,
3,DISTRIBUTION,ACCOUPL CPV 4PO,120,U,23.67,0.000,Général,
3,DISTRIBUTION,COUDE CPV 4PO 45D,4,U,139.27,1.000,Général,
3,DISTRIBUTION,COUDE CPV 4PO 90D,6,U,135.67,1.000,Général,
3,DISTRIBUTION,JOINT EXPANS CPV 4PO,6,U,286.30,0.500,Général,
3,DISTRIBUTION,ADAPT F CPV 4PO,2,U,36.00,0.400,Général,
3,DISTRIBUTION,ADAPT M CPV 4PO,2,U,36.00,0.400,Général,
3,DISTRIBUTION,COND ALUM 4PO,40,P,35.94,0.250,Général,
3,DISTRIBUTION,SUPP 4ISOL 33-1/2PO SERV(ICE),1,U,221.76,1.500,Général,
3,DISTRIBUTION,CAP ENTR 4PO ALUM FILET,2,U,487.70,1.000,Général,
3,DISTRIBUTION,COURR CPV 4PO 2TROU AC,10,U,18.05,0.150,Général,
3,DISTRIBUTION,500MCM 37 BRINS RW90 600V,4720,P,20.91,0.048,Général,
3,DISTRIBUTION,3AWG 7 BRINS RW90 600V,1180,P,2.65,0.013,Général,
3,DISTRIBUTION,350MCM 37 BRINS RW90 600V,400,P,13.70,0.042,Général,
3,DISTRIBUTION,EMBOUT 4PO PLAST,2,U,2.73,0.050,Général,
3,DISTRIBUTION,EMBOUT 3PO PLAST (AI),12,U,1.72,0.040,Général,
3,DISTRIBUTION,CONTRE ECROU 3PO,8,U,3.58,0.040,Général,
3,DISTRIBUTION,MAMELON RIG 3X6PO,2,U,62.84,0.550,Général,
3,DISTRIBUTION,CONN TME 3PO VIS ZINC,8,U,19.01,0.400,Général,
3,DISTRIBUTION,ACCOUPL TME 3PO VIS ZINC,4,U,15.58,0.000,Général,
3,DISTRIBUTION,COUDE TME 3PO 90D,8,U,52.68,0.600,Général,
3,DISTRIBUTION,COUDE TYPEII 4X60PO 90D,10,U,236.66,0.200,Général,
3,DISTRIBUTION,COND TME 4PO,110,P,14.02,16.000,Général,temps par 100 pi
3,DISTRIBUTION,COUDE TME 4PO 90D,6,U,83.06,0.800,Général,
3,DISTRIBUTION,CONN TME 4PO VIS ZINC,4,U,23.70,0.600,Général,
3,DISTRIBUTION,ACCOUPL TME 4PO VIS ZINC,17,U,20.38,0.000,Général,
3,DISTRIBUTION,COURROIE 4PO CABLE & C(ONDUIT),15,U,6.33,0.150,Général,
3,DISTRIBUTION,EMBOUT 4PO PLAST,4,U,2.73,0.050,Général,
3,DISTRIBUTION,COND FLEX 4PO ALUM BOB,5,P,33.31,0.250,Général,
3,DISTRIBUTION,CONN BX 4PO 2VIS ALUM,1,U,161.53,0.400,Général,
3,DISTRIBUTION,ACCOUPL RIG 4PO GALV,1,U,41.67,0.400,Général,
3,DISTRIBUTION,500MCM 37 BRINS RW90 600V,560,P,20.91,0.048,Général,
3,DISTRIBUTION,3AWG 7 BRINS RW90 600V,140,P,2.65,0.013,Général,
4,DISTRIBUTION,COND FLEX 1-1/4PO ALUM B(OB),10,P,5.61,0.076,Général,
4,DISTRIBUTION,COND FLEX 3PO ALUM BOB,5,P,14.73,0.187,Général,
4,DISTRIBUTION,CONN BX 1-1/4PO 1VIS,1,U,8.26,0.150,Général,
4,DISTRIBUTION,CONN BX 3PO 1VIS,1,U,79.36,0.300,Général,
4,DISTRIBUTION,CONN BX 1-1/4PO 90D 2VIS,1,U,15.03,0.150,Général,
4,DISTRIBUTION,CONN BX 3PO 90D 2VIS ALU(M),1,U,196.74,0.300,Général,
4,DISTRIBUTION,EMBOUT 1-1/4PO PLAST (AI),2,U,0.42,0.030,Général,
4,DISTRIBUTION,EMBOUT 3PO PLAST (AI),2,U,1.72,0.040,Général,
4,DISTRIBUTION,300MCM 37 BRINS RW90 600V,160,P,11.63,0.040,Général,
4,DISTRIBUTION,4AWG 7 BRINS RW90 600V,40,P,2.06,0.012,Général,
4,DISTRIBUTION,3AWG 7 BRINS RW90 600V,45,P,2.65,0.013,Général,
4,DISTRIBUTION,6AWG 7 BRINS RW90 600V,50,P,1.30,0.010,Général,
4,DISTRIBUTION,6AWG 7 BRINS CUIVRE NU,50,P,1.29,0.010,Général,
4,DISTRIBUTION,COND TME 3PO,20,P,10.72,11.000,Général,temps par 100 pi
4,DISTRIBUTION,CONN TME 3PO VIS ZINC,2,U,19.01,0.400,Général,
4,DISTRIBUTION,ACCOUPL TME 3PO VIS ZINC,3,U,15.58,0.000,Général,
4,DISTRIBUTION,COUDE TME 3PO 90D,2,U,52.68,0.600,Général,
4,DISTRIBUTION,COURROIE 3PO CABLE & C(ONDUIT),3,U,5.48,0.000,Général,
4,DISTRIBUTION,Sous-total distribution,226348.52,$,,816.150,Général,
4,ECLAIRAGE,PRIX DE LOT ECLAIRAGE,1,U,98294.15,0.000,Général,
4,ECLAIRAGE,BASE LAMPADAIRE,2,U,950.00,4.000,Général,
4,ECLAIRAGE,FIXTURE TYPE A1,10,U,0.00,0.750,Général,
4,ECLAIRAGE,FIXTURE TYPE D1,2,U,0.00,4.000,Général,
4,ECLAIRAGE,FIXTURE TYPE L1,2,U,0.00,1.000,Général,
4,ECLAIRAGE,FIXTURE TYPE L2,3,U,0.00,3.000,Général,
4,ECLAIRAGE,FIXTURE TYPE L3,10,U,0.00,1.000,Général,
4,ECLAIRAGE,FIXTURE TYPE L3A,4,U,0.00,1.000,Général,
4,ECLAIRAGE,FIXTURE TYPE L4,8,U,0.00,1.000,Général,
4,ECLAIRAGE,FIXTURE TYPE L4A,2,U,0.00,1.000,Général,
4,ECLAIRAGE,FIXTURE TYPE M1,5,U,0.00,1.000,Général,
4,ECLAIRAGE,FIXTURE TYPE P1,8,U,0.00,1.000,Général,
4,ECLAIRAGE,FIXTURE TYPE R1,30,U,0.00,1.250,Général,
4,ECLAIRAGE,FIXTURE TYPER2,4,U,0.00,0.700,Général,
4,ECLAIRAGE,FIXTURE TYPE R3,6,U,0.00,1.000,Général,
4,ECLAIRAGE,ENSEIGNE SORTIE,5,U,0.00,1.000,Général,
4,ECLAIRAGE,TETE DOUBLE,7,U,0.00,0.500,Général,
4,ECLAIRAGE,TETE SIMPLE,3,U,0.00,0.500,Général,
4,ECLAIRAGE,BATTERIE UNIT 2T,1,U,0.00,2.500,Général,
4,ECLAIRAGE,WST-C-3D,5,U,0.00,0.750,Général,
5,ECLAIRAGE,WST-0-5D (WST-C-5D),1,U,0.00,0.750,Général,
5,ECLAIRAGE,WST-C-3,3,U,0.00,0.750,Général,
5,ECLAIRAGE,WST-C-1,4,U,0.00,0.750,Général,
5,ECLAIRAGE,DÉTECTEUR MOUV 360 OSC,11,U,0.00,0.500,Général,
5,ECLAIRAGE,RELAIS RSP-C-347-ZI,19,U,0.00,0.500,Général,
5,ECLAIRAGE,PANNEAU RELAIS,1,U,0.00,8.000,Général,
5,ECLAIRAGE,ACC-C-TP,11,U,0.00,0.500,Général,
5,ECLAIRAGE,WAC2-POE,1,U,0.00,0.750,Général,
5,ECLAIRAGE,WAH-C-POE-ID,2,U,0.00,0.500,Général,
5,ECLAIRAGE,GS308PP,1,U,0.00,0.500,Général,
5,ECLAIRAGE,24/4PR CAT5E BLINDE BLEU,1500,P,0.50,0.011,Général,
5,ECLAIRAGE,INT B/V,8,U,0.00,0.500,Général,
5,ECLAIRAGE,INT,1,U,0.00,0.500,Général,
5,ECLAIRAGE,alimentation d'éclairage 0-10 V,57,U,28.67,0.040,Général,
5,ECLAIRAGE,alimentation éclairage,15,U,11.02,0.350,Général,
5,ECLAIRAGE,BTR CPV 4X4X2PO ETANCH(E),20,U,16.00,0.400,Général,
5,ECLAIRAGE,BOITE OCTOG CPV 4X1-1/2PO,38,U,18.21,0.400,Général,
5,ECLAIRAGE,conduit pvc 3/4 3c12,1750,P,,0.065,Général,1750 (175s)
5,ECLAIRAGE,conduit 3/4 03c10,290,P,,0.058,Général,290 (29s)
5,ECLAIRAGE,conduit 3/4 03c12,650,P,,0.055,Général,650 (65s)
5,ECLAIRAGE,ACCOUPL CPV 2PO (AI),32,U,6.42,0.000,Général,
5,ECLAIRAGE,COUDE CPV 2PO 90D (AI),4,U,23.20,0.300,Général,
5,ECLAIRAGE,JOINT EXPANS CPV 2PO,2,U,43.23,0.500,Général,
5,ECLAIRAGE,COND CPV 2PO 10PI (AI),280,P,2.55,0.110,Général,
5,ECLAIRAGE,COLLE SOLVANT CPV 475M(L),1,U,24.23,0.000,Général,
5,ECLAIRAGE,10AWG 7 BRINS RW90 600V,840,P,0.52,0.006,Général,
5,ECLAIRAGE,12AWG SOLIDE RW90 600V,420,P,0.30,0.004,Général,
5,ECLAIRAGE,OLDCASTLE PRECAST ENC(LOSURE),1,U,613.90,1.500,Général,
5,ECLAIRAGE,PANDUIT STP6X15BU COPP(ER),20,U,51.72,0.150,Général,
5,ECLAIRAGE,PANDUIT STP6X25BU COPP(ER),15,U,67.16,0.200,Général,
5,ECLAIRAGE,PANDUIT STP6X100BU COP(PER),6,U,179.99,0.500,Général,
5,ECLAIRAGE,PANDUIT STP6X3BU COPPE(R),25,U,33.18,0.100,Général,
5,ECLAIRAGE,PANDUIT STP6X50BU CORD,5,U,99.86,0.250,Général,
5,ECLAIRAGE,PANDUIT STP6X6BU COPPE(R),15,U,37.80,0.150,Général,
5,ECLAIRAGE,Sous-total éclairage,119242.81,$,,502.110,Général,
5,CHAUFFAGE,PRIX DE LOT CHAUFFAGE,1,U,8770.08,0.000,Général,
5,CHAUFFAGE,PLINTHE B500W,5,U,0.00,0.500,Général,
5,CHAUFFAGE,PLINTHE B1000W,1,U,0.00,0.700,Général,
5,CHAUFFAGE,PLINTHE B1250W,2,U,0.00,0.800,Général,
6,CHAUFFAGE,PLINTHE B1500W,1,U,0.00,0.900,Général,
6,CHAUFFAGE,PLINTHE B2500W,1,U,0.00,1.000,Général,
6,CHAUFFAGE,WAF1503C24W,5,U,0.00,2.500,Général,
6,CHAUFFAGE,SHU0431CCHAR,1,U,0.00,2.500,Général,
6,CHAUFFAGE,SHU1531CCAR,1,U,0.00,2.500,Général,
6,CHAUFFAGE,RELAIS TRIAC,9,U,0.00,0.350,Général,
6,CHAUFFAGE,drop de chauffage bx2/12,17,U,20.54,0.600,Général,
6,CHAUFFAGE,conduit 3/4 03c10,350,P,,0.058,Général,350 (35s)
6,CHAUFFAGE,conduit 1 03c06,50,P,,0.080,Général,50 (5s)
6,CHAUFFAGE,conduit 3/4 03c12,140,P,,0.055,Général,140 (14s)
6,CHAUFFAGE,conduit 3/4 05c12,30,P,,0.065,Général,30 (3s)
6,CHAUFFAGE,conduit 3/4 06c12,50,P,,0.070,Général,50 (5s)
6,CHAUFFAGE,BOITE CARRE 2-1/8PO KO 1,24,U,6.18,0.250,Général,
6,CHAUFFAGE,COUV CARRE 4PO VIERGE,15,U,1.50,0.050,Général,
6,CHAUFFAGE,Sous-total chauffage,11165.79,$,,91.870,Général,
6,SERVICE,tel/data,0,U,15.09,0.630,Général,quantité 0
6,SERVICE,prise duplex 15A 120V,18,U,55.83,1.175,Général,
6,SERVICE,prise usb 125v 15 amp,2,U,71.62,1.125,Général,
6,SERVICE,CR2510,1,U,145.00,0.750,Général,
6,SERVICE,prise duplex 20a 125v GFI,9,U,58.32,1.300,Général,
6,SERVICE,prise duplex 15/20A 120V,3,U,53.28,1.225,Général,
6,SERVICE,SERPENTIN,7,U,15.00,0.500,Général,
6,SERVICE,CONDENSEUR,1,U,15.00,0.350,Général,
6,SERVICE,CHAUFFE-EAU,3,U,0.00,0.750,Général,
6,SERVICE,SECHOIRE A MAIN,3,U,1250.00,1.000,Général,
6,SERVICE,MOTEUR VE,4,U,15.00,0.350,Général,
6,SERVICE,MOTEUR ECH,1,U,15.00,0.350,Général,
6,SERVICE,MOTEUR VC,1,U,15.00,0.350,Général,
6,SERVICE,MOTEUR PERC,1,U,15.00,0.350,Général,
6,SERVICE,MOTEUR VA,2,U,15.00,0.350,Général,
6,SERVICE,MOTEUR DEV,1,U,15.00,0.350,Général,
6,SERVICE,SYTEME REF,1,U,0.00,2.000,Général,
6,SERVICE,COND TME 4PO,130,P,14.02,16.000,Général,temps par 100 pi
6,SERVICE,COUDE TME 4PO 90D,6,U,83.06,0.800,Général,
6,SERVICE,CONN TME 4PO VIS ZINC,4,U,23.70,0.600,Général,
6,SERVICE,ACCOUPL TME 4PO VIS ZINC,19,U,20.38,0.000,Général,
6,SERVICE,COND FLEX 4PO ALUM BOB,5,P,33.31,0.250,Général,
6,SERVICE,CONN BX 4PO 2VIS ALUM,1,U,161.53,0.400,Général,
6,SERVICE,CONN BX 4PO 90D ALUM,1,U,403.73,0.500,Général,
7,SERVICE,EMBOUT 4PO PLAST,4,U,2.73,0.050,Général,
7,SERVICE,500MCM 37 BRINS RW90 600V,680,P,20.91,0.048,Général,
7,SERVICE,4AWG 7 BRINS RW90 600V,190,P,2.06,0.012,Général,
7,SERVICE,COND TME 1PO,270,P,1.90,5.000,Général,temps par 100 pi
7,SERVICE,CONN TME 1PO VIS ZINC,16,U,1.35,0.100,Général,
7,SERVICE,ACCOUPL TME 1PO VIS ZINC,27,U,1.41,0.000,Général,
7,SERVICE,COND FLEX 1PO ALUM BOB,25,M,13.88,0.046,Général,
7,SERVICE,CONN BX/D7 1PO 1VIS,5,U,4.34,0.110,Général,
7,SERVICE,CONN BX 1PO 90D 2VIS ALL,5,U,12.72,0.110,Général,
7,SERVICE,EMBOUT 1PO PLAST (AI),10,U,0.36,0.020,Général,
7,SERVICE,6AWG 7 BRINS RW90 600V,1080,P,1.30,0.010,Général,
7,SERVICE,conduit 3/4 03c12,190,P,,0.055,Général,190 (19s)
7,SERVICE,conduit 3/4 04c10,80,P,,0.064,Général,80 (8s)
7,SERVICE,conduit 3/4 05c12,40,P,,0.065,Général,40 (4s)
7,SERVICE,conduit 3/4 07c12,40,P,,0.075,Général,40 (4s)
7,SERVICE,conduit 1 11c12,50,P,,0.105,Général,50 (5s)
7,SERVICE,conduit 1 15c12,30,P,,0.125,Général,30 (3s)
7,SERVICE,"conduit 1""1/4 17c12",30,P,,0.153,Général,30 (3s)
7,SERVICE,conduit 3/4 03c10,600,P,,0.058,Général,600 (60s)
7,SERVICE,conduit 1 03c06,50,P,,0.080,Général,50 (5s)
7,SERVICE,Sous-total service,30316.60,$,,242.628,Général,
7,SECURITE,PORTE SIMPLE,2,U,0.00,0.000,Général,
7,SECURITE,PORTE DOUBLE,3,U,0.00,0.000,Général,
7,SECURITE,conduit vide 1,350,P,,0.050,Général,350 (35s)
7,SECURITE,conduit vide 3/4,200,P,,0.040,Général,200 (20s)
7,SECURITE,conduit 3/4 03c12,250,P,,0.055,Général,250 (25s)
7,SECURITE,BOITE CARRE 2-1/8PO KO 1,15,U,6.18,0.250,Général,
7,SECURITE,COUV CARRE 4PO VIERGE,5,U,1.50,0.050,Général,
7,SECURITE,BOITE D 8X8X4PO CEMA1,5,U,12.21,0.600,Général,
7,SECURITE,Sous-total sécurité,1860.94,$,,60.450,Général,
8,VIDEOSURVEILLANCE,ACCOUPL CPV 1-1/4PO (AI),138,U,3.40,0.000,Général,
8,VIDEOSURVEILLANCE,COUDE CPV 1-1/4PO 90D (AI),16,U,11.05,0.200,Général,
8,VIDEOSURVEILLANCE,JOINT EXPANS CPV 1-1/4PO,10,U,31.54,0.500,Général,
8,VIDEOSURVEILLANCE,BTR CPV 8X8X4PO ETANCH(E),10,U,88.57,0.500,Général,
8,VIDEOSURVEILLANCE,COND CPV 1-1/4PO 10PI (AI),1220,P,3.48,0.080,Général,
8,VIDEOSURVEILLANCE,COLLE SOLVANT CPV 475M(L),1,U,24.23,0.000,Général,
8,VIDEOSURVEILLANCE,ADAPT M CPV 1-1/4PO (AI),12,U,3.40,0.160,Général,
8,VIDEOSURVEILLANCE,EMBOUT 1-1/4PO PLAST (AI),12,U,0.42,0.030,Général,
8,VIDEOSURVEILLANCE,CONTRE ECROU 1-1/4PO (AI),12,U,0.82,0.020,Général,
8,VIDEOSURVEILLANCE,ACCOUPL CPV 1PO,38,U,2.61,0.000,Général,
8,VIDEOSURVEILLANCE,COUDE CPV 1PO 90D,6,U,7.86,0.150,Général,
8,VIDEOSURVEILLANCE,JOINT EXPANS CPV 1PO,3,U,26.14,0.500,Général,
8,VIDEOSURVEILLANCE,BTR CPV 4X4X4PO ETANCH(E),3,U,31.96,0.500,Général,
8,VIDEOSURVEILLANCE,COND CPV 1PO 10PI,320,P,2.78,0.060,Général,
8,VIDEOSURVEILLANCE,ADAPT M CPV 1PO,6,U,3.19,0.140,Général,
8,VIDEOSURVEILLANCE,EMBOUT 1PO PLAST (AI),6,U,0.36,0.020,Général,
8,VIDEOSURVEILLANCE,CONTRE ECROU 1PO (AI),6,U,0.54,0.020,Général,
8,VIDEOSURVEILLANCE,Sous-total vidéosurveillance,7405.70,$,,137.500,Général,
8,GRANDS TOTAUX,Coûtant = Prix de vente,397620.37,$,,1916.488,Général,
