page_scan,page_imprimee,section,objet,quantite,um,feuille_zone,note
3,7,ECLAIRAGE / DEMANDE PRIX,drop de switch,22,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,GRADATEUR,19,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,DETECTEUR MOUVEMENT (libellé tronqué),2,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,INT DETEC PR,3,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,conduit 3/4 03c12,2000 (200s),P,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,conduit 3/4 05c12,840 (84s),P,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,BOITE OCTOG 1-1/2PO KO 1,651,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,BOITE CARRE 2-1/8PO KO 1,250,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,COUV CARRE 4PO VIERGE,250,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,PASISMIQUE (parasismique),1,U,non indiquée (total projet),
3,7,ECLAIRAGE sommaire,Sommaire ECLAIRAGE coûtant,122180.57,$,non indiquée (total projet),
3,7,ECLAIRAGE sommaire,Sommaire ECLAIRAGE main-d'oeuvre,3948.440,h,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,PRIX DE LOT ALARME INCENDIE,1,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,DÉTECTEUR A FUMÉE,65,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,DÉTECTEUR DE GAINE,4,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,HAUT PARLEUR,78,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,STATION MANUEL,6,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,MODULE ADRESSABLE,14,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,MAT,7,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,14AWG 3C ALARME BLINDE,2000,P,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,14AWG 3C ALARME 300V,4000,P,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,BOITE RECT 2-1/2PO OREILLES,6,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,BOITE OCTOG 1-1/2PO KO 1,65,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,BOITE CARRE 2-1/8PO KO 1,170,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,COUV CARRE 4PO VIERGE,170,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,CONN BX 3/8PO 1VIS ALLIAGE,340,U,non indiquée (total projet),
3,7,ALARME INCENDIE / Général,conduit vide 3/4,3750 (375s),P,non indiquée (total projet),
4,8,ALARME INCENDIE sommaire,Sommaire ALARME coûtant,14425.06,$,non indiquée (total projet),
4,8,ALARME INCENDIE sommaire,Sommaire ALARME main-d'oeuvre,508.200,h,non indiquée (total projet),
4,8,DISTRIBUTION / Général,PRIX DE LOT DISTRIBUTION,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N6C PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,15X20A1P 26X15A1P 4X15A... (disj. N6C),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N6B PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,36X15A1P 12X20A1P 4X15A... (disj. N6B),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N6A PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,40X15A1P 11X20A1P 4X15A... (disj. N6A),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N5D PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,33X15A1P 10X20A1P 3X15A... (disj. N5D),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N5B PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,35X15A1P 10X20A1P 4X15A... (disj. N5B),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N5A PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,39X15A1P 10X20A1P 1X30A... (disj. N5A),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N4A PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,40X15A1P 8X20A1P 1X30A2P... (disj. N4A),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N4B PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,38X15A1P 13X20A1P 4X15A... (disj. N4B),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N4C PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,28X15A1P 9X20A1P 4X15A2P... (disj. N4C),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N4D PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,28X15A1P 10X20A1P 2X15A... (disj. N4D),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N6D PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,17X15A1P 8X20A1P 3X15A2P... (disj. N6D),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,N5C PANN 225A 120/208V 3P,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,32X15A1P 9X20A1P 4X15A2P... (disj. N5C),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,PANN 100A 120/240V 30CCT,3,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,6X15A1P 1X20A1P 1X15A2P... (disj. PANN 100A),0,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,DISJ 125A 3P 600V 18KA,3,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,DISJ 40A 2P 240V 10KA,1,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,COND TME 1-1/4PO,360,P,non indiquée (total projet),
4,8,DISTRIBUTION / Général,COND TME 2PO,700,P,non indiquée (total projet),
4,8,DISTRIBUTION / Général,COND TME 2-1/2PO,610,P,non indiquée (total projet),
4,8,DISTRIBUTION / Général,COUDE TME 1-1/4PO 90D,16,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,COUDE TME 2PO 90D,24,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,COUDE TME 2-1/2PO 90D,18,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,CONN TME 1-1/4PO VIS ZINC,6,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,CONN TME 2PO VIS ZINC,10,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,CONN TME 2-1/2PO VIS ZINC,6,U,non indiquée (total projet),
4,8,DISTRIBUTION / Général,ACCOUPL TME 1-1/4PO VIS,52,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,ACCOUPL TME 2PO VIS ZINC,94,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,ACCOUPL TME 2-1/2PO VIS,79,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,LB 1-1/4PO FILETE ALUM,3,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,LB 2PO FILETE ALUM,5,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,LB 2-1/2PO VIS ALUM,3,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,COURR TME 1-1/4PO 1TROU,0,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,COURR TME 2PO 1TROU AC,0,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,COURR COND 2-1/2PO 2TROUS,0,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,COURROIE 1-1/4PO CABLE,40,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,COURROIE 2PO CABLE,90,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,COURROIE 2-1/2PO CABLE,80,U,non indiquée (total projet),
5,9,DISTRIBUTION / Général,RAIL 1-5/8X1-5/8PO GALV,200,P,non indiquée (total projet),
5,9,DISTRIBUTION / Général,4/0AWG 19 BRINS RW90 600V,2680,P,non indiquée (total projet),
5,9,DISTRIBUTION / Général,4AWG 7 BRINS RW90 600V,1000,P,non indiquée (total projet),
5,9,DISTRIBUTION / Général,3AWG 7 BRINS RW90 600V,1680,P,non indiquée (total projet),
5,9,DISTRIBUTION / Général,3/0AWG 19 BRINS RWU90 1000V,1320,P,non indiquée (total projet),
5,9,DISTRIBUTION / Général,6AWG 7 BRINS RWU90 1000V,420,P,non indiquée (total projet),
5,9,DISTRIBUTION / Général,1/0AWG 19 BRINS RW90 600V,1960,P,non indiquée (total projet),
5,9,DISTRIBUTION / Général,QUINCAILLERIE,1,U,non indiquée (total projet),
5,9,DISTRIBUTION sommaire,Sommaire DISTRIBUTION coûtant,72668.07,$,non indiquée (total projet),
5,9,DISTRIBUTION sommaire,Sommaire DISTRIBUTION main-d'oeuvre,470.300,h,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,PRIX DE LOT CHAUFFAGE,1,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,RADIANT,1,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,PLINTHE B 500W 347V,4,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,PLINTHE B 750W 347V,21,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,PLINTHE B 1000W 347V,16,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,PLINTHE B 1250W 347V,18,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,PLINTHE B 1500W 347V,15,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,PLINTHE B 1750W 347V,6,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,PLINTHE B 2000W 347V,2,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,PLINTHE B 2250W 347V,3,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,TRIAC 347/24V,85,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,CHAUFFAGE RADIANT,9,U,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,conduit 3/4 03c10,2560 (256s),P,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,conduit 3/4 04c10,200 (20s),P,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,conduit 3/4 05c10,340 (34s),P,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,conduit 1 07c10,160 (16s),P,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,conduit 1 08c10,90 (9s),P,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,conduit 1-1/4 09c10,30 (3s),P,non indiquée (total projet),
5,9,CHAUFFAGE / DEMANDE PRIX,conduit 1-1/4 12c10,40 (4s),P,non indiquée (total projet),
6,10,CHAUFFAGE / DEMANDE PRIX,BOITE CARRE 1-1/2PO KO 1,90,U,non indiquée (total projet),
6,10,CHAUFFAGE / DEMANDE PRIX,COUV CARRE 4PO VIERGE,90,U,non indiquée (total projet),
6,10,CHAUFFAGE / DEMANDE PRIX,BOITE D 8X8X4PO CEMA1,6,U,non indiquée (total projet),
6,10,CHAUFFAGE / DEMANDE PRIX,drop de chauffage bx2/12,85,U,non indiquée (total projet),
6,10,CHAUFFAGE / DEMANDE PRIX,Nouvel item non listé,0,U,non indiquée (total projet),
6,10,CHAUFFAGE sommaire,Sommaire CHAUFFAGE coûtant,13737.07,$,non indiquée (total projet),
6,10,CHAUFFAGE sommaire,Sommaire CHAUFFAGE main-d'oeuvre,348.031,h,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,prise duplex 15A 120V GFI,184,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,prise duplex 15A 120V,707,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,drop de prise,55,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,prise usb 125v 15 amp,246,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,tel/data,311,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,SORTIE TV,86,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,WIFI,79,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,RG11,13,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,RACCORD DIRECT,20,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,SERPENTIN,8,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,SÉCHOIRE A MAIN,3,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,MOTEUR EV,83,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,MOTEUR BC,6,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,MOTEUR HU,2,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,PRISE AU TOIT,2,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,UAF,2,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,INTERR 30A 3P 600V CEMA3,93,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,CROCHET ENJ CADDYCATH,250,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,conduit 1-1/4 21c12,450 (45s),P,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,conduit 3/4 03c12,1350 (135s),P,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,conduit 1-1/4 25c12,160 (16s),P,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,conduit 1 11c12,3150 (315s),P,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,BOITE CARRE 2-1/8PO KO 1,200,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,COUV CARRE 4PO VIERGE,200,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,BOITE D 8X8X4PO CEMA1,120,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,RECEPT 30A 125V 2P 3F,6,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,NVENT THERMAL 3/10-480 1,550,P,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,NVENT THERMAL PYRPPK9,3,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,CLIP,200,U,non indiquée (total projet),
6,10,SERVICE / DEMANDE PRIX,QUINCAILLERIE,1,U,non indiquée (total projet),
7,11,SERVICE sommaire,Sommaire SERVICE coûtant,152756.59,$,non indiquée (total projet),
7,11,SERVICE sommaire,Sommaire SERVICE main-d'oeuvre,2685.715,h,non indiquée (total projet),
7,11,CAMERA/HP / Général,CAMERA,66,U,non indiquée (total projet),
7,11,CAMERA/HP / Général,HAUT PARLEUR,94,U,non indiquée (total projet),
7,11,CAMERA/HP / Général,conduit vide 3/4,2600 (260s),P,non indiquée (total projet),
7,11,CAMERA/HP sommaire,Sommaire CAMERA/HP coûtant,3647.23,$,non indiquée (total projet),
7,11,CAMERA/HP sommaire,Grands totaux coûtant,379414.59,$,non indiquée (total projet),
7,11,CAMERA/HP sommaire,Grands totaux main-d'oeuvre,8106.286,h,non indiquée (total projet),
