feuille,type,echelle,note
EL403_ADD,remplacee,,cartouche=EL403 · rév. 1 add. 1 — remplacée par EL403_ADD_3
EL403_ADD_2,remplacee,,cartouche=EL403 · rév. 2 add. 2 — remplacée par EL403_ADD_3
EL403_ADD_3,plan,100,cartouche=EL403 · SERVICES RDC AGRANDISSEMENT (rév. 3 add. 4) — version retenue
EL404,remplacee,,cartouche=EL404 · RACCORDEMENTS MÉCANIQUES ET CHAUFFAGE RDC (rév. 0) — remplacée par EL404_ADD_2
EL404_ADD,remplacee,,cartouche=EL404 · rév. 1 add. 1 — remplacée par EL404_ADD_2
EL404_ADD_2,plan,100,cartouche=EL404 · RACCORDEMENTS MÉCANIQUES ET CHAUFFAGE RDC (rév. 2 add. 2)
EL405,remplacee,,cartouche=EL405 · SERVICES NIVEAU 2 AGRANDISSEMENT (rév. 0) — remplacée par EL405_ADD_2
EL405_ADD,remplacee,,cartouche=EL405 · rév. 1 add. 1 — remplacée par EL405_ADD_2
EL405_ADD_2,plan,100,cartouche=EL405 · SERVICES NIVEAU 2 AGRANDISSEMENT (rév. 2 add. 4) — version retenue
EL406,remplacee,,cartouche=EL406 · RACCORDEMENTS MÉCANIQUES ET CHAUFFAGE NIVEAU 2 (rév. 0) — remplacée par EL406_ADD_2
EL406_ADD,remplacee,,cartouche=EL406 · rév. 1 add. 1 — remplacée par EL406_ADD_2
EL406_ADD_2,plan,100,cartouche=EL406 · RACCORDEMENTS MÉCANIQUES ET CHAUFFAGE NIVEAU 2 (rév. 2 add. 2) + détails 15/16 monte-personne
EL407,remplacee,,cartouche=EL407 · SERVICES TOIT (rév. 0) — remplacée par EL407_ADD
EL407_ADD,plan,100,cartouche=EL407 · SERVICES TOIT (rév. 1 add. 1)
EL408,remplacee,,cartouche=EL408 · TABLEAU DES RACCORDEMENTS MÉCANIQUES (rév. 0) — remplacée par EL408_ADD_2
EL408_ADD,remplacee,,cartouche=EL408 · rév. 1 add. 1 — remplacée par EL408_ADD_2
EL408_ADD_2,tableau,,cartouche=EL408 · TABLEAU DES RACCORDEMENTS MÉCANIQUES (rév. 2 add. 2) — recoupé avec EL404/EL406/EL407
EL501,remplacee,,cartouche=EL501 · ALARME INCENDIE RDC BÂTIMENT EXISTANT (rév. 0) — remplacée par EL501_ADD
EL501_ADD,plan,100,cartouche=EL501 · ALARME INCENDIE RDC BÂTIMENT EXISTANT — RÉAMÉNAGEMENT (rév. 1 add. 4)
EL502,remplacee,,cartouche=EL502 · ALARME INCENDIE RDC AGRANDISSEMENT (rév. 0) — remplacée par EL502_ADD_2
EL502_ADD,remplacee,,cartouche=EL502 · rév. 1 add. 1 — remplacée par EL502_ADD_2
EL502_ADD_2,plan,100,cartouche=EL502 · ALARME INCENDIE RDC AGRANDISSEMENT (rév. 2 add. 2)
EL503,remplacee,,cartouche=EL503 · ALARME INCENDIE NIVEAU 2 (rév. 0) — remplacée par EL503_ADD_2
EL503_ADD,remplacee,,cartouche=EL503 · rév. 1 add. 1 — remplacée par EL503_ADD_2
EL503_ADD_2,plan,100,cartouche=EL503 · ALARME INCENDIE NIVEAU 2 AGRANDISSEMENT (rév. 2 add. 2)
EL504,remplacee,,cartouche=EL504 · ALARME INCENDIE SCHÉMAS ET PROGRAMMATION (rév. 0) — remplacée par EL504_ADD_2
EL504_ADD,remplacee,,cartouche=EL504 · rév. 1 add. 1 — remplacée par EL504_ADD_2
EL504_ADD_2,schema,,cartouche=EL504 · ALARME INCENDIE SCHÉMAS ET PROGRAMMATION (rév. 2 add. 2)
EL601,schema,,cartouche=EL601 · CONTRÔLE — SCHÉMAS nLight (rév. 0) — non recompté (appareils déjà relevés en plan)
EL602,schema,,cartouche=EL602 · CONTRÔLE — SCHÉMAS nLight (rév. 0) — non recompté
EL603,remplacee,,cartouche=EL603 · CONTRÔLE — SCHÉMAS (rév. 0) — remplacée par EL603_ADD
EL603_ADD,schema,,cartouche=EL603 · CONTRÔLE — SCHÉMAS nLight (rév. 1 add. 1) — non recompté
EL604,remplacee,,cartouche=EL604 · CONTRÔLE — SCHÉMAS (rév. 0) — remplacée par EL604_ADD
EL604_ADD,schema,,cartouche=EL604 · CONTRÔLE — SCHÉMAS nLight (rév. 1 add. 1) — non recompté
EL605,remplacee,,cartouche=EL605 · CONTRÔLE — SCHÉMAS (rév. 0) — remplacée par EL605_ADD
EL605_ADD,schema,,cartouche=EL605 · CONTRÔLE — SCHÉMAS nLight (rév. 1 add. 1) — non recompté
EL606,remplacee,,cartouche=EL606 · CONTRÔLE — SCHÉMAS (rév. 0) — remplacée par EL606_ADD
EL606_ADD,schema,,cartouche=EL606 · CONTRÔLE — SCHÉMAS nLight (rév. 1 add. 1) — non recompté
EL701,autre,,cartouche=page couverture / liste des dessins (AO, rév. 0)
EL701_ADD,autre,,cartouche=page couverture addenda 1
EL701_ADD_3,autre,,cartouche=page couverture addenda 4 (liste des feuilles émises)
EL701_2,remplacee,,cartouche=EL701 · DÉTAILS (rév. 0) — remplacée par EL701_ADD_2
EL701_ADD_2,detail,,cartouche=EL701 · DÉTAILS (rév. 1 add. 2) — détail 25 évaporateurs EV-01/EV-02 ; non recompté
