feuille,label,x_pt,y_pt,source,note,raison
D420,Haut-parleur existant — dépose/entreposage,1974.5,702.4,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,909.2,985.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,908.5,715.8,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,2218.6,385.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,2083.6,1859.8,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,2187.0,2053.8,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,545.1,1496.5,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,549.6,611.2,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,544.8,700.9,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,788.8,384.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1023.4,384.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1258.6,384.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1494.2,384.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1729.5,384.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1964.7,384.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,843.3,701.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1052.2,736.5,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1334.8,701.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1914.2,908.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1744.1,753.8,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1050.8,1669.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,653.9,1858.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,860.5,1841.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1169.4,1841.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1339.2,1669.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1347.0,1840.5,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1587.9,1840.5,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1854.7,1840.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,757.3,2052.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1056.6,2010.7,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1226.4,2052.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1461.7,2052.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1697.3,2052.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1932.4,2052.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1882.3,1669.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1882.3,1515.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,843.4,584.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1033.8,584.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1241.6,584.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1414.7,584.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,1656.4,584.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D421,Haut-parleur existant — dépose/entreposage,2001.9,584.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D421_ADD (addenda T-01)
D422,Haut-parleur existant — dépose/entreposage,311.5,351.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D422_ADD (addenda T-01)
D422,Haut-parleur existant — dépose/entreposage,642.1,351.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D422_ADD (addenda T-01)
D422,Haut-parleur existant — dépose/entreposage,952.9,342.2,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D422_ADD (addenda T-01)
D422,Haut-parleur existant — dépose/entreposage,319.6,1806.9,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D422_ADD (addenda T-01)
D422,Haut-parleur existant — dépose/entreposage,629.7,1806.9,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D422_ADD (addenda T-01)
D422,Haut-parleur existant — dépose/entreposage,329.0,542.8,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D422_ADD (addenda T-01)
D422,Haut-parleur existant — dépose/entreposage,640.2,542.8,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D422_ADD (addenda T-01)
D422,Haut-parleur existant — dépose/entreposage,771.5,736.3,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D422_ADD (addenda T-01)
D422,Haut-parleur existant — dépose/entreposage,771.5,943.9,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D422_ADD (addenda T-01)
