libelle_humain,libelle_ia,proportion,appariees,humain,ia_libelle_total,humain_groupe,ecart_groupe,libelles_humains_partages,manquantes_ia,meme_position_libelle_different,repartition
SERPENTIN,Raccordement équipement mécanique,1.00,2,2,28,9,19,AF-1 ; EA-1 ; PANN POMPE ; SERPENTIN ; V-10 ; V-5A ; serv af-2,0,0,Raccordement équipement mécanique=2
SERV TEL,Sortie informatique,1.00,2,2,55,2,53,,0,0,Sortie informatique=2
WF 4000W 347V,Aéroconvecteur commun,1.00,2,2,2,2,0,,0,0,Aéroconvecteur commun=2
AF-1,Raccordement équipement mécanique,1.00,1,1,28,9,19,AF-1 ; EA-1 ; PANN POMPE ; SERPENTIN ; V-10 ; V-5A ; serv af-2,0,0,Raccordement équipement mécanique=1
AG-1A,,0.00,0,1,0,1,,,1,0,
AG-1B,,0.00,0,1,0,1,,,1,0,
COND BUREAU,Raccordement condenseur,1.00,1,1,145,147,-2,COND BUREAU ; COND CONF ; COND YOGA ; LO CONENSEUR,0,0,Raccordement condenseur=1
COND CONF,Raccordement condenseur,1.00,1,1,145,147,-2,COND BUREAU ; COND CONF ; COND YOGA ; LO CONENSEUR,0,0,Raccordement condenseur=1
COND YOGA,Raccordement condenseur,1.00,1,1,145,147,-2,COND BUREAU ; COND CONF ; COND YOGA ; LO CONENSEUR,0,0,Raccordement condenseur=1
DF3,Détecteur fumée/CO,1.00,1,1,1,1,0,,0,0,Détecteur fumée/CO=1
EA-1,Raccordement équipement mécanique,1.00,1,1,28,9,19,AF-1 ; EA-1 ; PANN POMPE ; SERPENTIN ; V-10 ; V-5A ; serv af-2,0,0,Raccordement équipement mécanique=1
GSM,,0.00,0,1,0,1,,,1,0,
P--1A,,0.00,0,1,0,1,,,1,0,
P-1B,Raccordement ventilateur,1.00,1,1,62,40,22,LO VENT ; P-1B ; P-2A ; V-15 ; V-1A ; V-9,0,0,Raccordement ventilateur=1
P-2A,Raccordement ventilateur,1.00,1,1,62,40,22,LO VENT ; P-1B ; P-2A ; V-15 ; V-1A ; V-9,0,0,Raccordement ventilateur=1
P-2B,,0.00,0,1,0,1,,,1,0,
P-3,,0.00,0,1,0,1,,,1,0,
P-4,Prise double,1.00,1,1,1616,2561,-945,LO P3000 ; LO PRISE ; LO TV ; P-4 ; SERV PRISE ; V-3,0,0,Prise double=1
PORTE GARAGE,,0.00,0,1,0,1,,,1,0,
V-10,Raccordement équipement mécanique,1.00,1,1,28,9,19,AF-1 ; EA-1 ; PANN POMPE ; SERPENTIN ; V-10 ; V-5A ; serv af-2,0,0,Raccordement équipement mécanique=1
V-11,Sectionneur,1.00,1,1,148,2,146,V-11 ; V-4,0,0,Sectionneur=1
V-12,Équipement salle électrique — à classer,1.00,1,1,11,2,9,V-12 ; V-2A,0,0,Équipement salle électrique — à classer=1
V-13,,0.00,0,1,0,1,,,1,0,
V-14A,,0.00,0,1,0,1,,,1,0,
V-14B,,0.00,0,1,0,1,,,1,0,
V-14C,,0.00,0,1,0,1,,,1,0,
V-15,Raccordement ventilateur,1.00,1,1,62,40,22,LO VENT ; P-1B ; P-2A ; V-15 ; V-1A ; V-9,0,0,Raccordement ventilateur=1
V-16,,0.00,0,1,0,1,,,1,0,
V-1A,Raccordement ventilateur,1.00,1,1,62,40,22,LO VENT ; P-1B ; P-2A ; V-15 ; V-1A ; V-9,0,0,Raccordement ventilateur=1
V-1B,,0.00,0,1,0,1,,,1,0,
V-1C,,0.00,0,1,0,1,,,1,0,
V-1D,,0.00,0,1,0,1,,,1,0,
V-2A,Équipement salle électrique — à classer,1.00,1,1,11,2,9,V-12 ; V-2A,0,0,Équipement salle électrique — à classer=1
V-2B,Transformateur,1.00,1,1,11,1,10,,0,0,Transformateur=1
V-2C,,0.00,0,1,0,1,,,1,0,
V-3,Prise double,1.00,1,1,1616,2561,-945,LO P3000 ; LO PRISE ; LO TV ; P-4 ; SERV PRISE ; V-3,0,0,Prise double=1
V-4,Sectionneur,1.00,1,1,148,2,146,V-11 ; V-4,0,0,Sectionneur=1
V-5A,Raccordement équipement mécanique,1.00,1,1,28,9,19,AF-1 ; EA-1 ; PANN POMPE ; SERPENTIN ; V-10 ; V-5A ; serv af-2,0,0,Raccordement équipement mécanique=1
V-5B,,0.00,0,1,0,1,,,1,0,
V-6,,0.00,0,1,0,1,,,1,0,
V-7,,0.00,0,1,0,1,,,1,0,
V-8,,0.00,0,1,0,1,,,1,0,
V-9,Raccordement ventilateur,1.00,1,1,62,40,22,LO VENT ; P-1B ; P-2A ; V-15 ; V-1A ; V-9,0,0,Raccordement ventilateur=1
serv af-2,Raccordement équipement mécanique,1.00,1,1,28,9,19,AF-1 ; EA-1 ; PANN POMPE ; SERPENTIN ; V-10 ; V-5A ; serv af-2,0,0,Raccordement équipement mécanique=1
